区分１,区分２,計,製造所,貯蔵所,取扱所
区部,千代田区,688,0,409,279
区部,中央区,418,1,265,152
区部,港区,604,0,367,237
区部,新宿区,353,0,228,125
区部,文京区,182,0,110,72
区部,台東区,154,0,70,84
区部,墨田区,322,3,226,93
区部,江東区,706,1,426,279
区部,品川区,578,0,437,141
区部,目黒区,145,0,82,63
区部,大田区,746,14,456,276
区部,世田谷区,330,1,195,134
区部,渋谷区,252,0,164,88
区部,中野区,84,0,41,43
区部,杉並区,113,0,53,60
区部,豊島区,139,0,88,51
区部,北区,273,7,167,99
区部,荒川区,211,2,150,59
区部,板橋区,391,10,234,147
区部,練馬区,240,0,136,104
区部,足立区,615,12,376,227
区部,葛飾区,304,1,179,124
区部,江戸川区,563,6,357,200
多摩地区（市町村）,八王子市,712,3,510,199
多摩地区（市町村）,立川市,237,0,162,75
多摩地区（市町村）,武蔵野市,47,0,31,16
多摩地区（市町村）,三鷹市,144,1,92,51
多摩地区（市町村）,青梅市,307,2,203,102
多摩地区（市町村）,府中市,267,0,176,91
多摩地区（市町村）,昭島市,184,0,118,66
多摩地区（市町村）,調布市,144,0,89,55
多摩地区（市町村）,町田市,282,1,201,80
多摩地区（市町村）,小金井市,46,0,33,13
多摩地区（市町村）,小平市,169,1,120,48
多摩地区（市町村）,日野市,160,1,97,62
多摩地区（市町村）,東村山市,109,1,73,35
多摩地区（市町村）,国分寺市,40,0,23,17
多摩地区（市町村）,国立市,51,0,30,21
多摩地区（市町村）,福生市,71,0,41,30
多摩地区（市町村）,狛江市,17,1,6,10
多摩地区（市町村）,東大和市,48,0,27,21
多摩地区（市町村）,清瀬市,36,0,22,14
多摩地区（市町村）,東久留米市,103,0,68,35
多摩地区（市町村）,武蔵村山市,89,0,51,38
多摩地区（市町村）,多摩市,112,0,69,43
多摩地区（市町村）,羽村市,143,1,89,53
多摩地区（市町村）,稲城市,74,0,46,28
多摩地区（市町村）,あきる野市,157,3,90,64
多摩地区（市町村）,西東京市,87,0,52,35
多摩地区（市町村）,瑞穂町,170,4,113,53
多摩地区（市町村）,日の出町,42,0,27,15
多摩地区（市町村）,檜原村,17,0,12,5
多摩地区（市町村）,奥多摩町,40,0,23,17
島しょ地区,大島町,87,0,64,23
島しょ地区,利島村,10,0,7,3
島しょ地区,新島村,40,0,22,18
島しょ地区,神津島村,25,0,12,13
島しょ地区,三宅村,51,0,35,16
島しょ地区,御蔵島村,9,0,6,3
島しょ地区,八丈町,73,0,49,24
島しょ地区,青ヶ島村,6,0,4,2
島しょ地区,小笠原村,135,0,109,26
