港名称,南海トラフ巨大地震ケース１（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース２（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース５（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース６（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース８（Ｔ．Ｐ．ｍ）,元禄型関東地震（Ｔ．Ｐ．ｍ）
三池港,9.79,5.99,6.61,10.21,10.79,18.20
坪田漁港,8.58,5.59,4.58,8.24,9.89,14.90
阿古漁港,10.85,4.29,3.68,10.83,10.05,8.58
伊ヶ谷漁港,16.11,7.69,5.35,16.10,16.98,10.68
大久保港・大久保漁港,12.55,5.00,3.69,12.55,12.94,14.16
湯の浜漁港,12.16,5.04,3.81,12.17,11.29,14.68
