区分１,区分２,人数（人）
第１次産業,農業,219
第１次産業,林業・狩猟業,8
第１次産業,漁業・水産養殖業,78
第２次産業,鉱業,-
第２次産業,建設業,407
第２次産業,製造業,33
第３次産業,電気ガス水道業,29
第３次産業,運輸・通信業,113
第３次産業,卸売業・小売業,271
第３次産業,金融・保険・不動産業,17
第３次産業,サービス業,621
第３次産業,公務,236
分類不能,,10
合計,,2042
