区分,町村,島,計,揺れ,急傾斜地崩壊等,津波,屋外転倒・落下物,火災,屋内収容物（参考値）
死者数,島しょ部計,,165,0,10,155,0,0,0
死者数,大島町,,15,0,7,8,0,0,0
死者数,利島村,,2,0,2,0,0,0,0
死者数,新島村,新島,2,0,1,1,0,0,0
死者数,新島村,式根島,0,0,0,0,0,0,0
死者数,神津島村,,2,0,0,2,0,0,0
死者数,三宅村,,143,0,0,143,0,0,0
死者数,御蔵島村,,0,0,0,0,0,0,0
死者数,八丈町,,1,0,0,1,0,0,0
死者数,青ケ島村,,0,0,0,0,0,0,0
死者数,小笠原村,父島,0,0,0,0,0,0,0
死者数,小笠原村,母島,0,0,0,0,0,0,0
負傷者数,島しょ部計,,100,77,13,10,0,0,1
負傷者数,大島町,,89,76,9,4,0,0,1
負傷者数,利島村,,3,1,2,0,0,0,0
負傷者数,新島村,新島,5,0,2,3,0,0,0
負傷者数,新島村,式根島,0,0,0,0,0,0,0
負傷者数,神津島村,,0,0,0,0,0,0,0
負傷者数,三宅村,,0,0,0,0,0,0,0
負傷者数,御蔵島村,,0,0,0,0,0,0,0
負傷者数,八丈町,,0,0,0,0,0,0,0
負傷者数,青ケ島村,,0,0,0,0,0,0,0
負傷者数,小笠原村,父島,3,0,0,3,0,0,0
負傷者数,小笠原村,母島,0,0,0,0,0,0,0
重傷者（負傷者の内数）,島しょ部計,,11,1,7,3,0,0,0
重傷者（負傷者の内数）,大島町,,6,1,4,1,0,0,0
重傷者（負傷者の内数）,利島村,,1,0,1,0,0,0,0
重傷者（負傷者の内数）,新島村,新島,3,0,2,1,0,0,0
重傷者（負傷者の内数）,新島村,式根島,0,0,0,0,0,0,0
重傷者（負傷者の内数）,神津島村,,0,0,0,0,0,0,0
重傷者（負傷者の内数）,三宅村,,0,0,0,0,0,0,0
重傷者（負傷者の内数）,御蔵島村,,0,0,0,0,0,0,0
重傷者（負傷者の内数）,八丈町,,0,0,0,0,0,0,0
重傷者（負傷者の内数）,青ケ島村,,0,0,0,0,0,0,0
重傷者（負傷者の内数）,小笠原村,父島,1,0,0,1,0,0,0
重傷者（負傷者の内数）,小笠原村,母島,0,0,0,0,0,0,0
