発生時刻,震央地名,マグニチュード,最大震度
4月14日21時26分,熊本県熊本地方,6.5,7
4月14日22時7分,熊本県熊本地方,5.8,６弱
4月15日0時3分,熊本県熊本地方,6.4,６強
4月16日1時25分,熊本県熊本地方,7.3,7
4月16日1時45分,熊本県熊本地方,5.9,６弱
4月16日3時55分,熊本県阿蘇地方,5.8,６強
4月16日9時48分,熊本県熊本地方,5.4,６弱
