月,東京国際空港（羽田空港）国内線旅客数（人）,東京国際空港（羽田空港）国際線旅客数（人）,調布飛行場国内線旅客数（人）
1,4848874,132870,4483
2,4997448,133177,3811
3,5912599,143194,5434
4,4782025,133460,4288
5,5166211,132052,4981
6,5127751,129732,3892
7,5332199,148341,3310
8,6264227,168329,8748
9,5772486,143517,4145
10,5897023,187201,4450
11,5693682,190410,4542
12,5199383,187127,4577
計,64993908,1829410,56661
合計,66823318,※,
