区分１,区分２,冬・昼間,冬・深夜
建物全壊被害（棟）,,294,294
建物全壊被害（棟）,揺れ,19,19
建物全壊被害（棟）,急傾斜地崩壊等,152,152
建物全壊被害（棟）,津波,123,123
死者数計（人）,,90,165
死者数計（人）,急傾斜地崩壊等,9,10
死者数計（人）,津波,81,155
