区分,マグニチュード（Ｍ）,５弱以下（％）,５強（％）,６弱（％）,６強（％）,７（％）
東京湾北部地震,7.3,32.8,13.7,29.0,24.4,0.1
多摩直下地震,7.3,17.2,12.7,44.6,25.5,0.0
元禄型関東地震,8.2,18.8,13.0,48.3,19.8,0.1
立川断層帯地震,7.4,28.9,34.7,17.5,17.6,1.3
