対象地震,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
元禄型,（１）元町港周辺,２．１６～３．７１,２．１３～３．６８,2.94,2.91,５．７～１５．４,7.0,１０．２～９０．９,17.7
元禄型,（２）元町港・元町漁港,２．１６～３．５０,２．１３～３．４７,2.86,2.83,５．７～１５．４,6.3,９．８～９０．９,18.6
元禄型,（３）和泉浜周辺,１．９２～３．４６,１．８９～３．４３,2.65,2.62,４．８～９．８,5.0,８．２～１７．６,9.0
元禄型,（４）万立浜周辺,１．８４～３．０４,１．８２～３．０２,2.33,2.31,３．７～４．７,4.0,４．１～６５．１,15.9
元禄型,（５）野田浜周辺,２．１９～４．８４,２．１７～４．８３,3.08,3.07,２．７～３．７,3.1,３．１～１５．６,7.3
元禄型,（６）岡田港周辺,２．２３～５．３１,２．２３～５．３０,3.66,3.65,２．１～３．８,3.8,５．６～１３．７,8.6
元禄型,（７）岡田港・岡田漁港,２．２３～５．３１,２．２３～５．３０,4.01,4.00,２．４～３．８,3.8,３．６～１３．７,8.6
元禄型,（８）泉津漁港周辺,２．１９～４．２１,２．１８～４．２１,2.64,2.63,２．０～２．２,2.0,８．８～１０．０,9.1
元禄型,（９）泉津漁港,２．３９～３．３２,２．３９～３．３１,2.70,2.69,２．０～２．２,2.0,９．２～１０．０,9.5
関東地震,（１０）筆島周辺,３．５３～６．０９,３．４８～６．０４,4.61,4.56,４．６～５．２,5.1,９．４～１２．２,10.6
関東地震,（１１）波浮港周辺,２．９４～５．６９,２．８９～５．６４,3.86,3.81,５．２～１０．７,5.2,９．９～１２．９,10.3
関東地震,（１２）波浮港,３．１５～５．７９,３．１０～５．７５,3.97,3.92,５．２～１０．７,5.2,９．９～１２．９,10.0
関東地震,（１３）差木地漁港周辺,２．５３～４．８１,２．４８～４．７６,3.35,3.30,７．０～１１．１,9.2,１０．８～１２．１,11.6
関東地震,（１４）差木地漁港,２．７４～３．７０,２．６９～３．６５,3.17,3.12,９．１～１１．１,9.8,１１．１～１２．０,11.9
関東地震,（１５）砂の浜周辺,２．１２～４．４９,２．０８～４．４５,3.16,3.12,９．２～１３．１,9.4,１２．５～７２．６,14.2
関東地震,（１６）野増漁港周辺,２．０７～２．９２,２．０３～２．８８,2.45,2.41,６．７～１５．２,7.4,１２．６～９１．４,13.3
関東地震,（１７）野増漁港,２．１０～２．９２,２．０６～２．８８,2.50,2.46,６．８～１２．９,7.4,１２．６～５８．２,13.3
関東地震,島全体,１．８４～８．６９,１．８２～８．６４,3.28,3.25,２．０～１５．４,5.0,３．１～９１．４,11.1
