機関,施設名,基本施設空港敷地面積（ｈａ）,基本施設滑走路（ｍ）,基本施設駐機場（スポット）,附帯施設,附帯施設［航空保安施設］
東京航空局（東京空港事務所）,東京国際空港,1522,Ａ３０００×６０／Ｂ２５００×６０／Ｃ３０００×６０／Ｄ２５００×６０,224,ターミナルビル／駐車場（１２４７３台駐車可）,地上着陸誘導施設、計器着陸誘導施設、照明施設、標識施設、消防車救急医療作業車
都港湾局,東京都調布飛行場,39,８００×３０,78,ターミナルビル、管理事務所棟、格納庫駐車場（６４台）,対空通信施設、航空灯火施設、航空標識、自家用発電施設、消防車、医療用資器材
都港湾局,東京ヘリポート,15,９０×３０,38,ターミナルビル、格納庫駐車場（１０台）,対空通信施設、航空標識、夜間照明施設、自家用発電設備、消防車、医療用資器材
都港湾局,大島空港,62,１８００×４５,13,ターミナルビル／駐車場（２３３台）,計器着陸誘導施設、対空通信施設、航空灯火施設、航空標識、自家用発電施設、消防車、医療用資器材
都港湾局,三宅島空港,28,１２００×３０,6,ターミナルビル（仮設）／駐車場（５３台）,対空通信施設（羽田リモート）、航空灯火施設、航空標識、自家用発電施設、消防車、医療用資器材
都港湾局,八丈島空港,76,２０００×４５,3,ターミナルビル／駐車場（２７４台）,計器着陸誘導施設、対空通信施設（羽田リモート）、航空灯火施設、航空標識、自家用発電施設、消防車、医療用資器材
都港湾局,新島空港,18,８００×２５,3,ターミナルビル／駐車場（４２台）,対空通信施設（羽田リモート）、航空灯火施設、航空標識、自家用発電施設、消防車、医療用資器材
都港湾局,神津島空港,26,８００×２５,3,ターミナルビル／駐車場（２４台）,対空通信施設（羽田リモート）、航空灯火施設、航空標識、自家用発電施設、消防車、医療用資器材
