ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）神津島港,１２．８４～２４．４６,１２．８２～２４．４３,17.15,17.13,１２．０～１３．３,13.2,１３．０～１５．１,13.9
1,（２）沢尻湾周辺,１０．８６～１８．８３,１０．８４～１８．８１,14.65,14.62,１１．６～１２．６,12.6,１３．２～３３．４,13.5
1,（３）長浜海岸周辺,１５．７８～２２．６６,１５．７６～２２．６４,20.05,20.03,１２．０～１２．５,12.5,１２．７～３３．２,13.2
1,（４）名組湾周辺・赤崎遊歩道周辺,１４．２２～１９．８４,１４．２０～１９．８２,17.33,17.31,１１．３～１１．９,11.9,１２．６～１３．２,12.6
1,（５）三浦漁港（多幸湾）,７．３１～１３．１１,７．２９～１３．０８,11.19,11.16,１５．８～１７．８,17.1,１６．７～２３．８,17.6
1,（６）三浦湾,７．５７～２３．６５,７．５５～２３．６３,12.26,12.23,１５．１～１６．６,16.6,１５．８～２０．９,16.9
1,島全体,６．０１～２６．３６,５．９９～２６．３４,14.89,14.87,１１．３～１７．８,15.1,１２．５～４９．３,15.7
2,（１）神津島港,５．１１～９．０３,５．０５～８．９７,6.61,6.56,１５．７～１６．４,15.8,３６．３～４９．６,37.2
2,（２）沢尻湾周辺,４．６８～７．９４,４．６３～７．８８,6.06,6.01,１５．４～１５．９,15.5,２９．２～４８．４,37.2
2,（３）長浜海岸周辺,５．９２～８．２６,５．８７～８．２１,7.09,7.04,１５．３～１５．７,15.5,３７．２～３９．０,38.2
2,（４）名組湾周辺・赤崎遊歩道周辺,３．８９～５．６３,３．８４～５．５８,4.92,4.87,１５．０～１６．０,15.0,１９．４～３８．５,37.9
2,（５）三浦漁港（多幸湾）,３．６１～４．９７,３．５５～４．９１,4.51,4.45,２０．５～２２．０,21.3,２３．５～１２２．７,25.9
2,（６）三浦湾,３．４７～５．４９,３．４１～５．４３,4.19,4.13,１９．６～２１．０,20.1,２２．９～２５．１,24.5
2,島全体,２．８１～９．０３,２．７５～８．９７,4.74,4.69,１５．０～２２．０,15.8,１９．１～１５１．１,37.2
5,（１）神津島港,２．６０～４．４５,２．５６～４．４２,3.24,3.20,１８．１～１８．６,18.1,１９．５～１５５．６,154.3
5,（２）沢尻湾周辺,２．４６～３．９９,２．４３～３．９６,3.13,3.10,１７．７～１８．３,17.8,６５．６～１８０．４,76.3
5,（３）長浜海岸周辺,３．４２～４．９５,３．４０～４．９２,4.27,4.24,１７．６～１８．１,17.9,３９．６～１８９．１,151.8
5,（４）名組湾周辺・赤崎遊歩道周辺,３．０４～４．０７,３．０１～４．０４,3.46,3.43,１７．２～１８．３,17.2,１４２．４～１５１．１,142.7
5,（５）三浦漁港（多幸湾）,２．２６～４．３２,２．２３～４．２９,3.05,3.02,２３．２～３８．３,23.8,３８．９～１８４．１,164.1
5,（６）三浦湾,２．１４～４．３７,２．１１～４．３４,2.82,2.79,２３．２～１２６．４,23.8,３９．４～１４８．８,139.3
5,島全体,１．９７～７．３４,１．９３～７．３０,3.28,3.25,１７．２～１４８．０,23.1,１９．５～１８９．１,146.6
6,（１）神津島港,１２．８４～２４．４６,１２．８２～２４．４４,17.17,17.15,１２．０～１３．３,13.2,１３．０～３４．３,13.9
6,（２）沢尻湾周辺,１１．３８～１８．８３,１１．３６～１８．８１,14.86,14.84,１１．６～１２．６,12.6,１３．２～３４．０,13.5
6,（３）長浜海岸周辺,１５．９０～２２．６５,１５．８８～２２．６３,20.14,20.12,１２．０～１２．５,12.5,１２．７～３３．６,13.3
6,（４）名組湾周辺・赤崎遊歩道周辺,１４．２４～１９．８４,１４．２２～１９．８２,17.33,17.31,１１．３～１１．９,11.9,１２．６～１３．２,12.6
6,（５）三浦漁港（多幸湾）,８．３３～１３．１０,８．３１～１３．０８,11.18,11.16,１５．８～１７．８,17.1,１６．６～３１．４,17.6
6,（６）三浦湾,７．５５～２３．６７,７．５３～２３．６５,12.26,12.24,１５．１～１６．６,16.5,１５．８～２０．９,16.9
6,島全体,５．３７～２６．３６,５．３６～２６．３４,14.95,14.93,１１．２～１７．８,15.1,１２．５～４２．７,15.7
8,（１）神津島港,１２．７１～２４．３３,１２．６７～２４．２８,16.97,16.92,１２．９～１４．２,14.1,１３．９～１６．０,14.8
8,（２）沢尻湾周辺,１１．８５～１８．２５,１１．８１～１８．２０,14.55,14.50,１２．６～１３．５,13.5,１４．０～３５．０,14.4
8,（３）長浜海岸周辺,１６．１５～２１．９８,１６．１０～２１．９４,19.64,19.59,１３．０～１３．５,13.5,１３．６～３４．８,14.2
8,（４）名組湾周辺・赤崎遊歩道周辺,１３．７２～２０．２７,１３．６８～２０．２３,17.08,17.03,１２．３～１２．９,12.9,１３．５～１４．１,13.5
8,（５）三浦漁港（多幸湾）,６．５４～１３．６９,６．５０～１３．６４,10.97,10.93,１６．８～１８．７,16.9,１７．５～３２．３,17.6
8,（６）三浦湾,７．００～２３．６８,６．９５～２３．６４,12.34,12.29,１６．１～１７．５,17.5,１６．７～１８．８,17.8
8,島全体,４．７２～２８．４３,４．６８～２８．３８,15.08,15.04,１２．２～１８．８,16.1,１３．４～５０．８,16.6
