区分,被害率（％）,１日後（％）,１日後復旧率（％）,４日後（％）,４日後復旧率（％）,１週間後（％）,１週間後復旧率（％）,１カ月後（％）,１カ月後復旧率（％）,復旧日数（日）
電力（停電率）,16.9,13.2,21.9,5.3,68.6,0.0,100,-,-,6
通信（不通率）,10.1,10.1,0,2.8,72.3,2.1,79.2,0.0,100,14
ガス（停止率）,17.9,15.9,11.2,14.8,17.3,13.7,23.5,8.0,55.3,53
上水道（断水率）,34.8,34.8,0,7.0,79.9,5.7,83.6,0.0,100,30
下水道（管きょ被害率）,22.3,2.8,87.4,2.4,89.2,1.9,91.5,0.0,100,30
