地区別,組合数,蓄養施設,通信施設,燃料補給施設,流通改善施設,漁船修理保管施設,養殖・養魚施設
大島支庁管内,5,9,5,7,10,13,
三宅支庁管内,2,1,1,2,3,4,
八丈支庁管内,2,1,1,2,3,4,
小笠原支庁管内,2,2,2,4,2,2,
都区内・多摩地区,6,8,,,,,24
島しょ農林水産総合センター,,1,,,,,3
計,17,22,9,15,18,23,27
