機関名１,機関名２,駅舎数,構造別内訳防火,構造別内訳準耐火,構造別内訳耐火,構造別内訳その他,立地別内訳地下,立地別内訳高架下,立地別内訳橋上,立地別内訳平地
都交通局,,149,-,21,98,30,98,21,-,30
都交通局,都電,30,-,-,-,30,-,-,-,30
都交通局,地下鉄,106,-,8,98,-,98,8,-,-
都交通局,日暮里・舎人ライナー,13,-,13,-,-,-,13,-,-
ＪＲ東日本,,139,2,78,57,2,6,28,44,61
ＪＲ東海,,2,-,-,2,-,-,1,1,-
東武鉄道,,28,10,13,3,2,1,6,5,16
東急電鉄,,60,13,17,30,0,9,5,3,43
京成電鉄,,19,0,13,6,-,2,10,4,3
京王電鉄,,66,7,32,27,-,16,6,13,31
京急電鉄,,19,3,8,8,-,4,10,-,5
西武鉄道,,61,12,30,17,2,1,9,27,24
小田急電鉄,,23,0,4,11,8,2,13,2,6
東京地下鉄,,179,-,-,179,-,158,18,-,3
東京モノレール,,10,-,-,10,-,4,-,6,-
ゆりかもめ,,16,-,-,16,-,-,16,-,-
多摩都市モノレール,,19,-,-,19,,,18,1,
北総鉄道,,1,-,-,1,-,-,1,-,-
東京臨海高速鉄道,,7,-,1,6,-,5,2,-,-
首都圏新都市鉄道,,20,8,5,0,7,8,12,-,-
計,,762,58,211,471,22,299,148,102,212
