ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）利島港,４．３０～１２．０７,４．２８～１２．０５,9.11,9.09,１５．５～１７．０,16.4,１６．２～２３．３,16.8
1,（２）利島港拡大１,６．４５～１２．０７,６．４３～１２．０５,9.19,9.17,１６．１～１７．０,16.4,１６．７～１７．４,16.8
1,（３）利島港拡大２,９．６８～１０．５１,９．６６～１０．４９,10.01,9.99,１６．７～１６．８,16.7,１７．２～１７．３,17.3
1,島全体,４．３０～１５．００,４．２８～１４．９８,8.79,8.77,１４．５～１７．７,17.7,１５．３～２４．２,18.1
2,（１）利島港,１．８５～３．０７,１．７８～３．００,2.34,2.27,２１．７～５７．７,21.7,４３．０～１４３．６,122.7
2,（２）利島港拡大１,１．９２～２．９２,１．８５～２．８５,2.36,2.29,２１．８～２４．３,22.4,５４．９～１４３．５,55.7
2,（３）利島港拡大２,２．４２～２．４６,２．３５～２．３９,2.44,2.37,２３．９～２３．９,23.9,５４．９～１４３．５,54.9
2,島全体,１．８５～３．５７,１．７８～３．５０,2.39,2.32,２０．７～５７．７,23.6,２２．６～１４５．１,143.2
5,（１）利島港,１．５６～２．８９,１．５２～２．８５,2.06,2.02,２３．９～１４１．２,96.6,１３４．８～１４７．３,135.1
5,（２）利島港拡大１,１．６９～２．７２,１．６６～２．６８,2.06,2.02,２４．７～１４０．３,24.7,１３５．７～１４７．３,147.2
5,（３）利島港拡大２,２．０５～２．１２,２．０２～２．０９,2.09,2.05,１２９．９～１３０．０,130.0,１３５．２～１４６．８,135.3
5,島全体,１．４９～２．８９,１．４５～２．８５,2.00,1.97,２３．９～１４６．７,96.6,１２９．４～１６３．７,135.1
6,（１）利島港,４．３０～１２．０５,４．２９～１２．０３,9.11,9.09,１５．５～１７．０,16.4,１６．２～２３．３,16.8
6,（２）利島港拡大１,６．４４～１２．０５,６．４２～１２．０３,9.18,9.16,１６．１～１７．０,16.4,１６．７～１７．５,16.8
6,（３）利島港拡大２,９．６７～１０．５０,９．６５～１０．４８,10.00,9.98,１６．７～１６．８,16.7,１７．２～１７．３,17.3
6,島全体,４．３０～１５．００,４．２９～１４．９８,8.79,8.77,１４．５～１７．７,17.7,１５．３～２４．２,18.1
8,（１）利島港,５．１６～１２．５５,５．１０～１２．４９,9.51,9.46,１６．５～１８．０,17.4,１７．３～４２．６,17.8
8,（２）利島港拡大１,６．７９～１２．５５,６．７３～１２．４９,9.70,9.64,１７．１～１８．０,17.4,１７．７～１８．４,17.8
8,（３）利島港拡大２,１０．２５～１１．４２,１０．１９～１１．３７,10.80,10.74,１７．７～１７．８,17.7,１８．２～１８．４,18.3
8,島全体,５．１６～１６．１８,５．１０～１６．１２,9.20,9.14,１５．５～１８．８,18.8,１６．３～４２．６,19.1
