林種,針広別,種別,区分１－４,区分１－７
人工林,針葉樹林,面積（ｈａ）,519.1,662.2
人工林,針葉樹林,材積（ｍ３）,133366.0,162621.0
人工林,広葉樹林,面積（ｈａ）,151.4,227.1
人工林,広葉樹林,材積（ｍ３）,28530.0,48759.0
天然林,針葉樹林,面積（ｈａ）,47.7,60.3
天然林,針葉樹林,材積（ｍ３）,12894.0,20258.0
天然林,広葉樹林,面積（ｈａ）,743.1,1219.0
天然林,広葉樹林,材積（ｍ３）,70318.0,113532.0
合計,,面積（ｈａ）,1461.3,2168.6
合計,,材積（ｍ３）,245108.0,345170.0
