区分１,区分２,平成２６年４月１日現在
東京消防庁,Ｄ級可搬消防ポンプ（台）,81
東京消防庁,スタンドパイプ（セット）,299
東京消防庁,煙体験ハウス（棟）,83
東京消防庁,訓練用通報装置（台）,169
東京消防庁,起震車（台）,2
東京消防庁,模擬消火装置（ほのお君）（台）,81
