区分１,区分２,１／１７,１／１８,１／１９,１／２０,１／２１～２／１０,合計
救助人員,,604,452,408,238,190,1892
救助人員,生存者,486,129,89,14,15,733
救助人員,死亡者,118,323,319,224,175,1159
生存救出者率（％）,,80.5,28.5,21.8,5.9,7.9,38.7
