区分１,区分２,区分３,冬・昼間・深夜（棟）,冬・昼間（人）,冬・深夜（人）
建物被害,建物全壊棟数,南海トラフ１,1175,,
建物被害,建物全壊棟数,南海トラフ２,263,,
建物被害,建物全壊棟数,南海トラフ５,372,,
建物被害,建物全壊棟数,南海トラフ６,1282,,
建物被害,建物全壊棟数,南海トラフ８,1157,,
建物被害,建物全壊棟数,元禄型関東,294,,
人的被害,死者数,南海トラフ１,,1302,1714
人的被害,死者数,南海トラフ２,,78,96
人的被害,死者数,南海トラフ５,,109,172
人的被害,死者数,南海トラフ６,,1332,1774
人的被害,死者数,南海トラフ８,,1192,1749
人的被害,死者数,元禄型関東,,90,165
