島名,港名,整備延長（ｍ）
大島,元町港,353
大島,波浮港,210
利島,利島港,410
新島,新島港,1031
式根島,式根島港,65
神津島,神津島港,324
三宅島,三池港,44
御蔵島,御蔵島港,396
八丈島,神湊港,134
八丈島,八重根港,35
青ヶ島,青ヶ島港,180
父島,二見港,64
母島,沖港,585
