地震発生時の年月日,地震（津波）の名前,震源の概略位置,震源の経度,震源の緯度,震源の深さ（キロメートル）,地震マグニチュード,津波規模階級（メートル）,父島における津波高（メートル）,備考
1826年1月,小笠原地震津波,小笠原近海,不明,,,,,6,帆船１隻破船
1944年12月7日,昭和東南海地震津波,熊野灘,136.6,33.8,30,7.9,3,最高潮位３,最高潮位は都司（２００４）による
1960年5月24日,チリ地震津波,チリ南部沖,-74.5,-39.5,,8.5,4,３から４,羽鳥（１９８５）による
