事業内容,全体計画（昭和５５～）（ｋｍ）,全体計画（昭和５５～）対象河川,平成２４末（ｋｍ）,平成２５以降（ｋｍ）
スーパー堤防等,25.3,隅田川、中川、綾瀬川、新中川、旧江戸川,15.5,9.8
テラス整備,47.5,隅田川,44.3,3.2
