区分１,区分２（回）,区分３（年月日）,合計（円）,村別内訳三宅村（円）,村別内訳新島村（円）,村別内訳神津島村（円）
募集金額,,,2976154134,,,
配分状況,1,12.10.20,1000000000,750000000,150000000,100000000
配分状況,2,12.11.30,400000000,300000000,60000000,40000000
配分状況,3,13.1.12,400000000,300000000,60000000,40000000
配分状況,4,13.10.31,400000000,400000000,,
配分状況,5,17.2.7,680000000,680000000,,
配分状況,6,17.9.7,96154134,96154134,,
配分状況,合計,,2976154134,2526154134,270000000,180000000
