都県,市町村等,締結年月日
東京都,稲城市,昭和45.5.18
東京都,大島町,昭和63.6.2
東京都,新島村,平成元.3.1
東京都,八丈町,平成元.6.1
東京都,利島村,平成元.6.1
東京都,神津島村,平成元.6.1
東京都,三宅村,平成元.6.1
東京都,御蔵島村,平成元.6.1
東京都,青ケ島村,平成元.6.1
神奈川県,相模原市,昭和39.12.22
神奈川県,川崎市,昭和43.8.2
神奈川県,横浜市,昭和51.6.30
神奈川県,大和市,昭和54.1.23
千葉県,市川市,昭和42.3.7
千葉県,松戸市,平成18.12.15
千葉県,浦安市,平成18.12.13
埼玉県,三郷市,昭和40.1.23
埼玉県,八潮市,昭和41.3.25
埼玉県,草加市,昭和42.2.6
埼玉県,川口市,昭和42.11.21
埼玉県,埼玉西部消防組合,平成25.4.1
埼玉県,戸田市,平成18.12.15
埼玉県,秩父広域市町村圏組合,平成3.2.19
埼玉県,朝霞地区一部事務組合,平成10.10.1
山梨県,上野原市,平成2.4.25
山梨県,東山梨行政事務組合,平成18.12.10
山梨県,大月市,平成8.6.28
