順位,施設名,場所
第１順位,東京都立川地域防災センター,立川市緑町３２３３－２
第２順位,東京国際フォーラム,千代田区丸の内３－５－１
第２順位,産業貿易センター台東館,台東区花川戸２－６－５
第２順位,東京芸術劇場,豊島区西池袋１－８－１
第２順位,青梅合同庁舎,青梅市新町６－７－１
第２順位,味の素スタジアム,調布市西町３７６－３
