構造,建築物の被害レベル,建築時～１９８１年５月,建築時～１９８１年５月（％）,建築時１９８１年６月～２０００年５月,建築時１９８１年６月～２０００年５月（％）,建築時２０００年６月～,建築時２０００年６月～（％）,総計,総計（％）
木造,無被害,39,5.1,179,20.4,196,61.4,414,21.2
木造,軽微・小破・中破,373,49.1,537,61.2,104,32.6,1014,51.9
木造,大破,133,17.5,85,9.7,12,3.8,230,11.8
木造,倒壊・崩壊,214,28.2,76,8.7,7,2.2,297,15.2
木造,小計,759,100.0,877,100.0,319,100.0,1955,100.0
Ｓ造,無被害,26,45.6,83,54.2,49,74.2,158,57.2
Ｓ造,軽微・小破・中破,22,38.6,55,35.9,14,21.2,91,33.0
Ｓ造,大破,5,8.8,10,6.5,2,3.0,17,6.2
Ｓ造,倒壊・崩壊,4,7.0,5,3.3,1,1.5,10,3.6
Ｓ造,小計,57,100.0,153,100.0,66,100.0,276,100.0
ＲＣ造,無被害,5,33.3,33,89.2,0,-,38,73.1
ＲＣ造,軽微・小破・中破,8,53.3,4,10.8,0,-,12,23.1
ＲＣ造,大破,0,0.0,0,0.0,0,-,0,0.0
ＲＣ造,倒壊・崩壊,2,13.3,0,0.0,0,-,2,3.8
ＲＣ造,小計,15,100.0,37,100.0,0,-,52,100.0
混構造,無被害,3,20.0,3,18.8,0,0.0,6,18.8
混構造,軽微・小破・中破,9,60.0,10,62.5,1,100.0,20,62.5
混構造,大破,3,20.0,2,12.5,0,0.0,5,15.6
混構造,倒壊・崩壊,0,0.0,1,6.3,0,0.0,1,3.1
混構造,小計,15,100.0,16,100.0,1,100.0,32,100.0
その他,無被害,0,0.0,4,57.1,10,90.9,14,66.7
その他,軽微・小破・中破,2,66.7,2,28.6,1,9.1,5,23.8
その他,大破,1,33.3,1,14.3,0,0.0,2,9.5
その他,倒壊・崩壊,0,0.0,0,0.0,0,0.0,0,0.0
その他,小計,3,100.0,7,100.0,11,100.0,21,100.0
不明,無被害,0,0.0,1,33.3,0,-,1,25.0
不明,軽微・小破・中破,1,100.0,1,33.3,0,-,2,50.0
不明,大破,0,0.0,1,33.3,0,-,1,25.0
不明,倒壊・崩壊,0,0.0,0,0.0,0,-,0,0.0
不明,小計,1,100.0,3,100.0,0,-,4,100.0
全体,無被害,73,8.6,303,27.7,255,64.2,631,27.0
全体,軽微・小破・中破,415,48.8,609,55.7,120,30.2,1144,48.9
全体,大破,142,16.7,99,9.1,14,3.5,255,10.9
全体,倒壊・崩壊,220,25.9,82,7.5,8,2.0,310,13.2
全体,小計,850,100.0,1093,100.0,397,100.0,2340,100.0
