港名称,南海トラフ巨大地震の最大津波高（ｍ）ケース（１）,南海トラフ巨大地震の最大津波高（ｍ）ケース（２）,南海トラフ巨大地震の最大津波高（ｍ）ケース（５）,南海トラフ巨大地震の最大津波高（ｍ）ケース（６）,南海トラフ巨大地震の最大津波高（ｍ）ケース（８）,最大津波高到達時間（分）,最大津波高到達時間（最短ケース）
（１）沖港,6.78,5.70,10.35,6.35,5.74,99.4,ケース（８）
（２）母島漁港（東港）,8.83,9.23,9.40,11.20,6.89,110.8,ケース（５）
（３）母島漁港（北港）,8.72,6.46,8.76,8.60,7.17,107.5,ケース（５）
