貸し出し先機関１,貸し出し先機関２,貸し出し電話機衛星携帯電話（台）,貸し出し電話機衛星船舶電話（台）,貸し出し電話機携帯電話（台）
島関係,三宅島,10,,
島関係,八丈島,12,,
島関係,神津島,5,,
島関係,御蔵島,7,,
対策機関,海上自衛隊,2,,
対策機関,陸上自衛隊,11,,20
対策機関,かとれあ丸（国土庁・気象庁・東京都・ＮＴＴ）,,9,
貸し出し総数（延べ）,,47,9,20
