区分,８（％）,９（％）,１３（％）,１４（％）,１８（％）,１９（％）,２３（％）,２４（％）
区部,41.2,,43.1,,45.0,,46.8,
多摩都市部,,28.1,,28.7,,29.1,,29.3
多摩山村部,,9.3,,9.4,,9.1,,9.3
島しょ部,,24.4,,24.5,,24.6,,23.8
