事業１,事業２,２８事業費（百万円）,２９事業数（延べ）,２９事業数,２９事業費（延べ）（百万円）,２９事業費（百万円）
震災対策（東京都震災対策事業計画）,,719940,287,274,789458,768508
区部・多摩地域における地震,,716309,267,267,764607,764607
区部・多摩地域における地震,１建物の耐震化、更新等,142661,42,42,139464,139464
区部・多摩地域における地震,２住民による救出活動の展開,3410,16,16,3847,3847
区部・多摩地域における地震,３出火・延焼の抑制,107758,13,13,104826,104826
区部・多摩地域における地震,４安全で迅速な避難の実現,89872,17,17,96427,96427
区部・多摩地域における地震,５各種情報の的確な発信,10359,33,33,13550,13550
区部・多摩地域における地震,６帰宅困難者による混乱防止,1953,7,7,1001,1001
区部・多摩地域における地震,７円滑な避難所の開設・運営,72,11,11,1414,1414
区部・多摩地域における地震,８発災後３日間の生活を可能にする飲料水や備蓄品の確保,135409,12,12,166980,166980
区部・多摩地域における地震,９公助による救出救助活動の展開,35037,52,52,44881,44881
区部・多摩地域における地震,１０迅速な復旧による早期生活再建,189778,64,64,192217,192217
島しょ地域における地震,,3631,20,7,24851,3901
島しょ地域における地震,１島しょ地域における迅速な避難の実現,3631,14,7,19043,3901
島しょ地域における地震,２島しょ地域における備蓄・輸送体制の確保,0,6,0,5808,0
風水害対策,,67883,26,8,208778,76134
都内各地における風水害,,67883,26,8,208778,76134
都内各地における風水害,１円滑な避難の実現,10,13,2,3033,75
都内各地における風水害,２浸水・土砂災害対策の充実,67873,13,6,205745,76059
合計,,787823,313,282,998236,844642
