ふ頭名,水深（ｍ）,対象船舶（ＤＷＴ）,バース数,バース延長（ｍ）,備考
竹芝ふ頭,-7.5,5000,3,465,海上輸送基地
日の出ふ頭,-6.7,3000,6,564,海上輸送基地／（耐震強化岸壁：計画２バース）
芝浦ふ頭,-5.5,2000,1,165,海上輸送基地
芝浦ふ頭,-7.5,5000,1,130,海上輸送基地
芝浦ふ頭,-7.5,5000,5,650,海上輸送基地／（耐震強化岸壁：整備済５バース）
品川ふ頭,-8.0,6000,3,476,海上輸送基地／（耐震強化岸壁：整備済１バース）／（耐震強化岸壁：事業中１バース）／（耐震強化岸壁：事業中１バース）
品川ふ頭,-10.0,15000,6,1126,海上輸送基地
晴海ふ頭,-9.0,１００００ＧＴ,1,161,海上輸送基地
晴海ふ頭,-10.0,２００００ＧＴ,2,456,海上輸送基地／（耐震強化岸壁：計画２バース）
晴海ふ頭,-10.0,15000,1,190,海上輸送基地
月島ふ頭,-7.5,5000,2,266,
大井コンテナふ頭,-15.0,50000,3,990,海上輸送基地／（耐震強化岸壁：整備済３バース）
大井コンテナふ頭,-15.0,50000,4,1364,海上輸送基地
大井水産物ふ頭,-12.0,30000,2,450,
大井食品ふ頭,-11.0,15000,2,380,海上輸送基地／（耐震強化岸壁：整備済２バース）
大井食品ふ頭,-12.0,30000,1,229,海上輸送基地
大井建材ふ頭,-5.0,1000,4,280,
１０号地ふ頭,-5.0,1000,13,920,海上輸送基地
１０号地ふ頭,-7.5,5000,11,1500,海上輸送基地／（耐震強化岸壁：計画４バース）
フェリーふ頭,－７．５～－８．５,６０００～１３０００ＧＴ,4,902,海上輸送基地／（耐震強化岸壁：事業中１バース）
１０号地その１多目的ふ頭,-7.5,５０００ＧＴ,1,180,海上輸送基地／（耐震強化岸壁：整備済１バース）
お台場ライナーふ頭,-10.0,15000,9,1800,
青海コンテナふ頭,-13.0,35000,2,520,海上輸送基地
青海コンテナふ頭,-15.0,50000,3,1050,海上輸送基地
有明ふ頭,-5.0,1000,10,750,
１５号地ふ頭,-11.0,15000,1,190,海上輸送基地／（耐震強化岸壁：計画１バース）
１５号地木材ふ頭,-12.0,25000,3,720,
若洲建材ふ頭,-5.5,2000,4,370,
辰巳ふ頭,-5.0,1000,2,160,海上輸送基地／（耐震強化岸壁：整備済２バース）
辰巳ふ頭,-5.0,1000,11,880,海上輸送基地
城南島建設発生土ふ頭,-7.5,5000,1,160,
中央防波堤内側ばら物ふ頭,-12.0,30000,1,240,
中央防波堤内側内貿ふ頭,-9.0,１２０００ＧＴ,2,460,
