ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
元禄型,（１）三池港,８．０４～１８．２０,８．０６～１８．２２,12.22,12.24,１５．８～１６．８,16.5,１６．３～１７．９,16.7
元禄型,（２）坪田漁港周辺,５．８９～１５．５９,５．９１～１５．６１,9.65,9.67,１６．４～１７．４,17.4,１６．８～１８．３,17.5
元禄型,（３）坪田漁港,５．８９～１４．９０,５．９１～１４．９２,8.82,8.84,１６．７～１７．４,17.4,１７．０～１８．３,17.5
元禄型,（４）阿古漁港,４．２８～８．５８,４．３０～８．６０,6.44,6.46,１９．８～２１．５,20.7,２０．２～２２．８,21.3
元禄型,（５）伊ヶ谷漁港,４．４２～１０．６８,４．４３～１０．６９,7.75,7.76,１８．６～１９．９,19.8,１８．８～２１．４,20.7
関東地震,（６）大久保漁港周辺,８．９３～１４．１６,８．９４～１４．１７,12.00,12.01,１７．５～１７．９,17.9,１７．９～１９．１,18.9
関東地震,（７）大久保港・大久保漁港,７．４３～１４．１６,７．４４～１４．１７,12.00,12.01,１７．３～１７．９,17.9,１７．６～１９．１,18.9
関東地震,（８）湯の浜漁港周辺,６．９５～１４．６８,６．９７～１４．６９,9.53,9.54,１５．８～１７．２,17.1,１６．７～１８．０,17.5
関東地震,（９）湯の浜漁港,７．９１～１４．６８,７．９２～１４．６９,9.92,9.93,１６．１～１７．２,17.1,１６．７～１８．０,17.5
関東地震,島全体,４．０８～１８．２０,４．０９～１８．２２,8.92,8.94,１５．５～２１．５,16.5,１５．９～２２．８,16.7
