機関名,地区別,延長（ｍ）,面積（ｈａ）,幅員（ｍ）
都水道局,西多摩（奥多摩町）,26129,30.66,１０～１９
都水道局,山梨県,20305,37.66,５～３８
都水道局,計,46434,68.32,
関東森林管理局,八王子市,20150,14.28,６～８
