区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,1.6,98.4,0.0,0.0,0.0,3629,15380,0,0,0,0,0,0,0.0,0.0,17,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,6,0,0,0,0,0,0,1,97,-,-,138,0,0,1,千
中央区,122762,647733,10.2,30.9,69.1,0.0,0.0,0.0,6210,12760,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,24,23,0,0,1,0,12,0,0,0,0,0,0,2,348,-,-,109,0,0,1,中
港区,205131,908940,20.3,24.4,75.6,0.0,0.0,0.0,13050,21979,4,0,0,4,0,0,0.0,0.0,118,0,0,0,0,0,0,0,0,0,1,23,19,0,0,4,0,22,2,0,0,0,1,0,4,245,-,-,167,0,0,1,港
新宿区,326309,770094,18.2,0.0,100.0,0.0,0.0,0.0,36731,29507,6,0,0,5,0,0,0.0,0.0,46,0,1,1,1,0,0,0,0,0,2,76,67,0,0,8,0,30,4,0,0,0,3,0,6,2368,-,-,130,0,0,4,新
文京区,206626,336229,11.3,0.0,100.0,0.0,0.0,0.0,27454,19692,3,0,0,3,0,0,0.0,0.0,48,0,1,1,1,0,0,0,1,0,2,75,50,0,0,24,0,20,10,0,0,0,10,0,4,742,-,-,62,1,0,2,文
台東区,175928,303522,10.1,1.0,99.0,0.0,0.0,0.0,22814,22088,0,0,0,0,0,0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,1,76,64,0,0,11,0,17,4,0,0,0,4,0,3,1081,-,-,85,0,0,2,台
墨田区,247606,262514,13.8,1.3,98.7,0.0,0.0,0.0,34427,23443,0,0,0,0,0,0,0.0,0.0,0,0,2,2,0,0,0,0,0,0,2,106,104,0,0,3,0,25,1,0,0,0,1,0,5,1400,-,-,52,0,0,3,墨
江東区,460819,490708,39.5,40.9,59.1,0.0,0.0,0.0,27895,24091,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,3,77,69,0,0,8,0,45,3,0,0,0,3,0,8,871,-,-,80,0,0,1,江
品川区,365302,505034,22.7,78.4,21.6,0.0,0.0,0.0,51286,25015,2,0,0,2,0,0,0.0,0.0,43,0,3,3,0,0,0,0,0,0,2,4,3,0,0,1,0,13,0,0,0,0,0,0,2,76,-,-,25,0,0,0,品
目黒区,268330,271320,14.7,41.3,58.7,0.0,0.0,0.0,40796,23689,4,0,0,4,0,0,0.0,0.0,20,0,5,5,1,0,0,0,0,0,1,11,3,0,0,7,0,10,3,0,0,0,3,0,1,265,-,-,26,0,0,0,目
大田区,693373,657209,59.5,95.2,4.8,0.0,0.0,0.0,99142,45038,0,0,0,0,0,0,0.0,0.0,70,0,7,7,0,0,0,0,0,0,3,2,1,0,0,0,0,25,0,0,0,0,0,0,3,345,-,-,19,0,0,0,大
世田谷区,877138,736040,58.1,6.0,84.5,9.5,0.0,0.0,129338,56307,32,27,0,5,22,5,0.0,0.0,57,1,43,43,9,2,0,1,6,0,7,389,194,1,2,193,0,86,79,3,0,1,75,0,16,6756,-,-,85,5,13,7,世
渋谷区,204492,542803,15.1,4.2,95.8,0.0,0.0,0.0,19674,19101,3,0,0,3,0,0,0.0,0.0,12,0,2,2,1,0,0,0,1,0,2,82,59,0,0,23,0,21,9,0,0,0,9,0,4,1843,-,-,107,1,0,2,渋
中野区,314750,285636,15.6,0.0,71.4,28.6,0.0,0.0,51464,20821,39,38,0,1,30,8,0.1,0.0,14,1,28,28,3,2,0,1,1,0,3,252,234,0,1,17,0,31,12,5,0,0,7,0,6,6026,-,-,42,2,17,7,中
杉並区,549569,439379,34.0,0.0,26.0,74.0,0.0,0.0,92388,30825,245,244,1,0,205,38,0.2,0.1,2,1,631,629,35,14,0,17,3,0,8,1022,881,0,21,119,1,174,81,29,0,6,46,0,39,19063,-,-,80,16,114,23,杉
豊島区,284678,378475,13.0,0.0,100.0,0.0,0.0,0.0,37098,19923,0,0,0,0,0,0,0.0,0.0,12,0,7,7,1,0,0,0,1,0,2,115,84,0,0,30,0,26,12,0,0,0,12,0,5,2598,-,-,73,1,0,3,豊
北区,335544,307317,20.6,11.9,86.4,1.7,0.0,0.0,50151,22372,9,1,0,7,1,0,0.0,0.0,58,0,2,2,1,0,1,0,0,0,3,90,81,1,0,7,0,33,3,0,0,0,3,0,6,3793,-,-,32,1,1,3,北
荒川区,203296,184021,10.2,0.2,99.8,0.0,0.0,0.0,26888,11633,1,0,0,0,0,0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,2,139,130,0,0,9,0,19,3,0,0,0,3,0,4,3913,-,-,27,0,0,3,荒
板橋区,535824,456425,32.2,9.8,88.7,1.5,0.0,0.0,65083,29528,10,2,0,8,1,1,0.0,0.0,54,1,11,11,2,0,1,0,1,0,4,110,79,1,1,30,0,54,13,0,0,0,12,0,10,10018,-,-,49,1,1,3,板
練馬区,716124,530628,48.2,1.0,70.2,28.8,0.0,0.0,114320,32078,114,113,1,0,103,10,0.1,0.0,12,1,155,154,18,7,0,4,6,0,6,687,466,0,6,215,0,71,100,15,0,2,84,0,13,20172,-,-,56,10,58,10,練
足立区,683426,539309,53.2,18.1,81.9,0.0,0.0,0.0,104482,38845,0,0,0,0,0,0,0.0,0.0,0,1,37,37,1,0,0,1,0,0,6,68,56,0,2,10,0,65,4,0,0,1,4,0,12,7368,-,-,40,1,0,2,足
葛飾区,442586,343039,34.8,62.9,37.1,0.0,0.0,0.0,78991,27793,0,0,0,0,0,0,0.0,0.0,0,0,20,20,1,0,0,1,0,0,2,23,19,0,1,3,0,16,2,0,0,0,1,0,2,2584,-,-,16,0,0,1,葛
江戸川区,678967,534942,49.9,68.7,31.3,0.0,0.0,0.0,87962,33956,0,0,0,0,0,0,0.0,0.0,0,0,15,15,1,0,0,0,0,0,3,26,21,0,1,4,0,24,2,0,0,0,1,0,3,383,-,-,26,0,0,1,江
区部計,8945695,11284699,616.7,29.4,62.6,8.1,0.0,0.0,1221273,605864,470,425,3,43,363,62,0.0,0.0,592,11,971,969,76,25,3,26,21,0,65,3488,2718,4,39,726,1,846,348,52,2,11,283,0,158,92355,-,-,1524,40,204,79,区
八王子市,580053,549417,186.3,23.5,19.7,28.2,26.9,1.7,118849,35966,4617,4417,3,197,3960,458,3.3,1.3,509,11,1043,1013,314,270,17,26,1,0,9,4840,4703,21,71,42,2,177,537,490,10,20,16,0,39,98523,-,-,158,128,1782,141,八
立川市,179668,193465,24.4,0.0,0.0,0.0,72.2,27.8,35188,11697,3806,3788,0,18,3232,556,9.2,4.7,16,9,518,476,237,222,1,12,1,0,7,3066,2986,2,21,51,6,131,534,507,1,6,20,1,29,57218,-,-,108,108,1577,98,立
武蔵野市,138734,154448,10.7,0.0,0.0,100.0,0.0,0.0,21101,8163,133,133,0,0,114,19,0.5,0.2,0,1,78,78,10,8,0,2,1,0,2,474,452,0,2,20,0,45,30,22,0,1,8,0,10,13440,-,-,49,4,69,9,武
三鷹市,186083,148458,16.5,0.0,2.5,97.5,0.0,0.0,32764,8103,192,175,0,16,158,17,0.5,0.2,9,1,95,95,15,11,1,2,1,0,3,524,500,2,3,18,0,58,31,22,1,1,7,0,13,11158,-,-,33,7,83,11,三
