区分１,区分２,橋数（橋）,橋長（ｍ）,橋面積（ｍ２）,橋齢別現況１５年未満,橋齢別現況１５～２５年,橋齢別現況２５年以上
鋼橋,３０ｍ未満,-,-,-,-,-,-
鋼橋,３０～１００ｍ未満,1,85,2550,-,1,-
鋼橋,１００ｍ以上,17,9290,180716,4,4,9
鋼橋,計,18,9375,183266,4,5,9
