年月,農業科,農業科在籍数,家政科,家政科在籍数,普通科,普通科在籍数,在寮生計,在寮生在籍数計
13年4月,11,11,7,7,60,65,78,83
14年4月,8,9,2,6,30,43,40,58
15年4月,1,3,6,6,26,34,33,43
16年4月,0,1,6,8,16,21,22,30
17年4月,0,0,0,2,0,4,22,6
