島名,対象範囲,最大津波高（ｍ）,最大津波高（左欄）の到達時間（分）,浸水図掲載頁
大島,島全体,8.69,11.1,２－２０３
利島,島全体,4.94,19.6,２－２０７
新島,島全体,9.66,41.0,２－２１１
式根島,島全体,7.06,43.9,２－２１５
神津島,島全体,10.98,37.4,２－２１９
三宅島,島全体,18.20,16.7,２－２２３
御蔵島,島全体,22.60,17.6,２－２２７
八丈島,島全体,10.75,44.0,２－２３１
青ヶ島,島全体,5.77,56.3,２－２３５
父島,島全体,3.96,199.3,２－２３９
母島,島全体,2.76,199.4,２－２４３
