区分,マグニチュード（Ｍ）,高速道路（大被害）（％）,高速道路（％）,一般道路（大被害）（％）,一般国道（％）,都道（大被害）（％）,都道（％）,区市町村道（大被害）（％）,区市町村道（％）,鉄道（大被害）（％）,鉄道（％）
東京湾北部地震,7.3,0.0,10.2,0.0,9.1,0.2,3.0,0.1,0.7,0.0,1.9
多摩直下地震,7.3,0.0,3.2,0.0,4.1,0.1,1.4,0.1,0.5,0.0,0.8
元禄型関東地震,8.2,0.0,5.1,0.0,6.2,0.1,1.8,0.1,0.6,0.0,1.0
立川断層帯地震,7.4,0.0,1.3,0.0,2.7,0.1,0.7,0.0,0.4,0.0,0.3
