事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
家屋やマンションなどの倒壊防止や防災性向上を促進します,,,,,,103029,,97914
マンションの耐震化、建替えに向け必要な財政的・技術的支援を実施します,,,,,,414,,1365
13,１－１３,都独自の「耐震化促進税制」の実施,主税局,災害に強い東京の実現に向けて、住宅の耐震化を促進するため、住宅の「建替え」及び「耐震改修」を税制面から支援する。／［固定資産税・都市計画税の減免（２３区内）］,・１６年度定期課税実績（１６年６月）／総適用件数１５７６７件／（内訳：建替え減免１３８９４件、耐震改修減免１８７３件）,-,・納税者の耐震化に対する意識を高めるため、都市整備局や区等の関係機関と連携し、引き続き、積極的に制度周知,-
14,（９－１）,緊急輸送道路沿道建築物耐震化促進事業,都市整備局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
15,（９－２）,建築物の耐震化資金融資制度,都市整備局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
16,１－１４,区市町村耐震化促進普及啓発活動支援事業,都市整備局,現在の耐震化助成事業は、建物所有者への戸別訪問などの普及啓発活動に積極的に取り組んでいる自治体において、大きな成果を上げているため、区市町村の耐震化促進に向けた普及啓発活動を支援する。,・区市町村の耐震化の普及啓発活動に対して、助成を実施,36,・区市町村の耐震化の普及啓発活動に対して、助成を実施／・計画を策定して、住宅に個別訪問を行う区市町村への助成上限額を割増,93
17,１－１５,整備地域内の建築物の耐震化のための助成制度,都市整備局,防災都市づくり推進計画に定める整備地域内の老朽化した木造住宅等による大規模な市街地火災や建物倒壊による道路閉塞等を防ぐために、建替えによる不燃化・耐震化や耐震改修等を重点的に進め、安全な避難や救急・消火活動が可能となる防災上有効な道路の機能確保に向け取り組む。,・整備地域内の住宅の耐震診断・耐震改修等に助成を実施,115,・整備地域内の住宅の耐震診断・耐震改修等に助成を実施,510
18,１－１６,超高層建築物等における長周期地震動対策,都市整備局,国が超高層建築物等における長周期地震動対策を公表した後、建物所有者等に対し、補強方法の事例等を情報提供することにより、対策が推進するよう支援する。,・長周期地震動対策の啓発を実施,-,・長周期地震動対策の啓発を実施,-
19,１－１７,建築物における液状化対策,都市整備局,地震時の軟弱地盤の液状化による建築物等への被害を軽減するため、建築確認申請の機会をとらえて対策を促していく。また、建築主等が液状化による建物被害に備えるために必要となる地盤データや対策工法等を情報提供するとともに、対策について専門家からアドバイスを受けられる制度を創設し、対策の実施を支援する。,・液状化対策ポータルサイトによる情報提供を実施／・アドバイザーの活用により液状化対策を推進,2,・引き続き、液状化対策ポータルサイトによる情報提供を実施／・アドバイザーの活用により液状化対策を推進／・民間の地盤データを収集し、公表する。,8
20,１－１８,マンションの適切な管理の推進,都市整備局,管理組合による自主的かつ適正な維持管理を促進するため、普及啓発を図るとともに、マンションの管理状況を的確に把握し、管理不全の予防・改善を図り、地域における安全性や活力を維持向上する。,・マンションポータルサイトの開設、セミナーの開催等による普及啓発を実施／・マンション管理ガイドラインの改定／・マンションの管理状況を把握する仕組みを構築するため、区市と連携して試行的取組を実施,80,・マンションポータルサイト、セミナー等による普及啓発を実施／・試行的取組を検証するとともに、制度構築に向けた調査・検討を行う。,34
21,１－１９,マンション再生の促進（耐震化）,都市整備局,マンションの耐震化を促進するため、管理組合等に対する普及啓発を行うとともに、耐震診断、改修等への助成を実施する区市町村に対して助成を行うことで、災害に強い東京の実現を図る。,・アドバイザー３８０件／・耐震診断１２０００戸／・耐震改修４０００戸／・マンション啓発隊活動のフォローアップ,122,・アドバイザー３６０件／・耐震診断１００００戸／・耐震改修３５００戸／・マンション啓発隊活動のフォローアップ,450
22,１－２０,マンション再生の促進（建替え等の円滑化）,都市整備局,まちづくりと連携して、マンションの建替え等を促進する仕組みを構築し、地域の課題解決にも寄与するマンション再生の取組について、重点的な支援を行う。,・まちづくりと連携したマンション再生制度の構築に向けた先行モデル事業３地区／・マンション再生まちづくり制度の創設,15,・マンション再生まちづくり制度計画検討３地区／・共同化建替えアドバイザー２０件／・都市居住再生促進事業（建替えタイプ）,221
23,１－２１,マンション改良工事助成制度,都市整備局,マンションの共用部分を計画的に改良・修繕する管理組合に対し、都が利子補給することにより、居住性能の回復及び管理の適正化を図り、居住水準の向上や良好な住環境の形成を実現する。,・５０００戸実施,44,・５０００戸実施,49
24,１－２２,屋外広告物・天井等の落下防止対策,都市整備局,建築物の屋上や壁面に設置されている屋外広告物の落下等を防止するため、許可申請時における安全確認や指導の徹底を図る。また、落下のおそれのある大規模空間の天井、外壁タイル及びはめ殺し窓ガラスについて、建築物防災週間や建築基準法に基づく定期報告制度等の機会を捉えて、都内建築物の所有者に対し、改善指導を継続して行っていく。,・建築物防災週間や建築基準法に基づく定期報告制度等の機会を捉えて、引き続き、都内建築物の所有者に対し、改善指導を継続して行っていく。,-,・建築物防災週間や建築基準法に基づく定期報告制度等の機会を捉えて、引き続き、都内建築物の所有者に対し、改善指導を継続して行っていく。,-
25,１－２３,高層建築物等の防火安全対策,東京消防庁,高層建築物等の新築等に際して、関係者に対し、防火安全対策を講じるよう指導する。,・指導基準に基づく指導の推進,-,・指導基準に基づく指導の推進,-
地域危険度、被害想定等の周知、耐震化の取組事例の紹介等の普及啓発を行います,,,,,,347,,540
26,１－２４,耐震工法・事例の情報提供,都市整備局,木造住宅の耐震改修工法や防災用／ベッド等の装置について、優れたアイデアや事例を広く募集し、一定の評価を行った上で、展示会やパンフレット等の配布により、都民に情報提供する。,・木造住宅及びビル・マンションの耐震改修工法等を公募・選定、及び都民等に紹介,1,・木造住宅及びビル・マンションの耐震改修工法等を公募・選定、及び都民等に紹介,2
27,１－２５,建築物の耐震化総合相談窓口,都市整備局,建物の耐震化に関する相談業務を専門的な知識と情報を有する機関に委託し、木造・非木造住宅やビル等の一元的かつ総合的な相談ができる窓口を開設する。,・耐震化に関する電話相談／・耐震診断アドバイザー、改修アドバイザーの派遣／・耐震化の取組を促すＤＭの発送,299,・耐震化に関する電話相談／・耐震診断アドバイザー、改修アドバイザーの派遣／・耐震化の取組を促すＤＭの発送,495
28,１－２６,耐震診断等技術者講習会の実施,都市整備局,木造住宅耐震診断・補強設計事務所登録制度を活用して、都民が安心して円滑に耐震化に取り組む環境を整備する。,・耐震診断を行うことのできる技術者を養成する講習会を実施,11,・耐震診断を行うことのできる技術者を養成する講習会を実施,11
29,１－２７,耐震マーク表示制度,都市整備局,建築物の耐震性に関する情報が広く提供され、都民が安心して建築物を利用することができるよう、耐震基準に適合していることが確認された建築物に東京都耐震マークを交付し、建築物の入口など見やすい場所に表示する。,・耐震性を満たした建築物に耐震マークを貼付／・耐震改修中の工事現場に耐震マークを掲示,36,・耐震性を満たした建築物に耐震マークを貼付／・耐震改修中の工事現場に耐震マークを掲示,32
30,（１－１６）,超高層建築物等における長周期地震動対策,都市整備局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
31,（１－１７）,建築物における液状化対策,都市整備局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
