河川別,水系別,数,法定河川（ｋｍ）,法定延長内訳（管理区分）大臣管理（ｋｍ）,法定延長内訳（管理区分）指定区間（知事）（ｋｍ）,法定延長内訳（管理区分）知事管理（ｋｍ）
一級河川,利根川,10,77.12,22.1,55.02,-
一級河川,荒川,38,253.036,33.1,219.936,-
一級河川,多摩川,40,410.98,76.12,334.86,-
一級河川,鶴見川,4,20.75,-,20.75,-
一級河川,小計,92,761.886,131.32,630.556,-
二級河川,-,15,95.67,-,-,95.67
二級河川,小計,15,95.67,-,-,95.67
,合計,107,857.556,131.32,630.556,95.67
