流域名,処理区名,計画面積（ｈａ）,水再生センター名,関係市町村名
多摩川,野川,5476,区部森ヶ崎水再生センターへ流入,武蔵野市、三鷹市、府中市、調布市、小金井市、狛江市（６市）
多摩川,北多摩一号,5123,北多摩一号,立川市、府中市、小金井市、小平市、東村山市、国分寺市（６市）
多摩川,北多摩二号,2744,北多摩二号,立川市、国分寺市、国立市（３市）
多摩川,多摩川上流,9349,多摩川上流,立川市、青梅市、昭島市、福生市、武蔵村山市、羽村市、瑞穂町、奥多摩町（６市２町）
多摩川,南多摩,5900,南多摩,八王子市、町田市、日野市、多摩市、稲城市（５市）
多摩川,浅川,3902,浅川,八王子市、町田市、日野市（３市）
多摩川,秋川,8533,八王子,八王子市、昭島市、日野市、羽村市、あきる野市、日の出町、檜原村（５市１町１村）
多摩川流域計,,41027,,２２市３町１村
荒川右岸東京,荒川右岸,8042,清瀬,武蔵野市、小金井市、小平市、東村山市、東大和市、清瀬市、東久留米市、武蔵村山市、西東京市（９市）
総計,,49069,,２６市３町１村
