港名称,南海トラフ巨大地震ケース１（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース２（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース５（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース６（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース８（Ｔ．Ｐ．ｍ）,元禄型関東地震（Ｔ．Ｐ．ｍ）
沖港,6.78,5.70,10.35,6.35,5.74,1.77
母島漁港（東港）,8.83,9.23,9.40,11.20,6.89,2.26
母島漁港（北港）,8.72,6.46,8.76,8.60,7.17,2.76
