ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）御蔵島港,３．００～５．８０,３．００～５．７９,4.25,4.25,１８．３～１８．９,18.4,２１．４～３３．０,29.4
1,島全体,２．６８～６．２０,２．６６～６．１９,4.53,4.52,１７．９～２０．９,18.8,１８．５～８２．５,43.5
2,（１）御蔵島港,２．０７～４．０１,２．０６～４．００,2.84,2.84,２１．０～２１．５,21.1,２５．０～４５．５,45.2
2,島全体,２．０７～４．５７,２．０６～４．５４,3.35,3.33,２０．３～２５．６,21.3,２４．５～１４１．４,39.4
5,（１）御蔵島港,１．２５～２．８７,１．２４～２．８６,1.78,1.77,３８．６～１４５．７,56.4,５６．６～１７０．１,135.8
5,島全体,１．２５～４．５５,１．２４～４．５３,2.74,2.72,２９．１～１４５．７,39.8,５６．６～１７０．１,130.0
6,（１）御蔵島港,２．９２～５．６４,２．９２～５．６３,4.15,4.15,１８．３～１８．９,18.5,２１．４～３３．２,29.8
6,島全体,２．６７～６．３７,２．６５～６．３６,4.48,4.46,１７．９～２０．９,18.1,１８．５～６８．９,29.5
8,（１）御蔵島港,２．９３～５．４５,２．９２～５．４４,4.11,4.10,１９．０～１９．６,19.2,２２．５～４３．０,30.6
8,島全体,２．７１～７．３７,２．６８～７．３５,4.79,4.77,１８．７～２１．６,21.0,２２．４～９４．６,35.3
