機関名１,機関名２,路線数,軌道延長（ｋｍ）,車両数両,１日平均輸送人員（万人）,備考
都交通局,都電,1,12.2,39,5.2,
都交通局,地下鉄,4,109.0,1086,229.1,
都交通局,新交通,1,9.7,60,-,平成20年3月30日開業
ＪＲ東日本,,16,792,3986,1234,
ＪＲ東海,,1,17.8,2071,41.3,
東武鉄道,,12,463.3,1972,234.4,
東急電鉄,,8,100.1,1160,279.0,世田谷線を含む。
京成電鉄,,6,102.4,522,68.5,
京王電鉄,,6,84.7,875,174.4,
京浜急行,,5,87.0,766,121.7,貨車８
西武鉄道,,13,179.8,1282,167.7,機関車４、貨車２６
小田急電鉄,,3,120.5,1066,189.0,特殊車両１
北総鉄道,,1,32.3,96,9.7,第２種区間１２．５ｋｍ含む
東京地下鉄,,9,195.1,2669,650.0,
東京モノレール,,1,17.8,120,13.3,
ゆりかもめ,,1,14.7,144,9.3,
東京臨海高速鉄道,,1,12.2,80,16.4,
多摩モノレール,,1,16.0,64,11.5,
首都圏新都市鉄道,,1,58.3,180,19.5,
