区分,森林被害形態,分布状況,面積（ｈａ）
1,火口部の沈降、崩壊による生育基盤の消失,火口部,170
2,埋木、裸地化,火口部周辺で、オオバヤシャブシ等の落葉広葉樹が大半を占める,170
3,裸木化,区分１、２地域を取り囲むように北東から南西方向に広がり、被害は落葉広葉樹が多い,330
4,一部枝折れ、落葉、葉の被害等,山腹部まで広がり、落葉広葉樹林のほかに常緑広葉樹林、スギ・ヒノキ植林等にも見られる,750
5,降灰の付着,北部から東部の山麓まで広がり、植林地の占める割合が多い,770
合計,三宅島の面積は、５５１４ｈａであり、今回の降灰等による森林被害面積の割合はその約４０％を占める。,,2190
