名称,所在路線番号,所在箇所,排水能力（ｍ２／ｍｉｎ）,概要
日比谷地下自動車道,主３０４,千代田区日比谷公園先,8.46,トンネル
新橋地下自動車道,主３１６,港区新橋一・二丁目,2.6,トンネル
東銀座地下自動車道,主３１６,中央区銀座四丁目,9.0,トンネル
室町地下自動車道,主３１６,中央区京橋二丁目,4.0,トンネル
八重洲地下自動車道,主３１６,中央区日本橋二丁目,4.0,トンネル
江戸橋地下自動車道,主３１６,中央区日本橋二丁目,5.8,トンネル
入船橋排水場,特４７３,中央区築地二丁目,9.0,立体交差
中目黒排水場,主３１７,目黒区中目黒一丁目,20.0,立体交差
大鳥排水場,主３１７,目黒区目黒三丁目,10.8,立体交差
本蒲田排水場,主１１,大田区蒲田五丁目,4.6,立体交差
新蒲田排水場,主３１１,大田区新蒲田二丁目,10.5,立体交差
平和島排水場,主３１８,大田区平和島五丁目,4.5,トンネル
荻窪排水場,主３１１,杉並区上荻二丁目,36.0,立体交差
野方排水場,主３１８,中野区野方三丁目,18.0,立体交差
南常磐台排水場,主３１８,板橋区南常磐台一丁目,6.0,立体交差
熊野町排水場,主３１７,板橋区中丸町,9.0,立体交差
新小岩排水場,主３０８,葛飾区新小岩一丁目,27.0,立体交差
北砂排水場,特４７４,江東区北砂二丁目,8.0,立体交差
西日暮里排水場,主５８,荒川区西日暮里五丁目,7.3,立体交差
掃部宿排水場,特４６１,足立区千住東一丁目,20.0,立体交差
道灌山排水場,主５８,荒川区西日暮里五丁目,7.6,立体交差
三鷹排水場,一１２１,三鷹市下連雀三丁目,4.8,立体交差
箱根ヶ崎道路排水場,主５,西多摩郡瑞穂町,6.0,
箱根ヶ崎排水場,主５,西多摩郡瑞穂町,48.2,立体交差
松原立体排水場,一２２０,昭島市松原町二丁目,8.0,立体交差
南千住排水場,特４６４,荒川区南千住四丁目,6.0,立体交差
東海排水場,主３１８,大田区東海二丁目,11.8,立体交差
大和大橋排水場,主３１８,大田区平和島六丁目,0.9,立体交差
四面道排水場,主３１１,杉並区清水一丁目,4.4,立体交差
向原排水場,特４４１,板橋区向原二丁目,9.0,トンネル
小竹排水場,特４４１,練馬区小竹町二丁目,9.0,トンネル
谷原排水場,特４４３,練馬区高野台四丁目,8.8,立体交差
白鬚東排水場,特４６１,墨田区堤通二丁目,10.0,トンネル
昭島つつじが丘排水場,一１６２,昭島市つつじが丘三丁目,7.0,立体交差
芝山排水場,主４０,清瀬市元町二丁目,7.2,立体交差
高幡立体排水場,一５０３,日野市高幡地内,5.0,立体交差
一ノ宮立体排水場,主２０,日野市落川地内,5.0,立体交差
小柳排水場,主９,府中市小柳町四丁目,10.0,立体交差
府中栄町排水場,主１４,府中市栄町三丁目,10.0,立体交差
田無谷戸道路排水場,一１１２,西東京市谷戸町三丁目,1.0,
玉川上水排水場,主４３,立川市幸町六丁目,5.0,立体交差
井荻トンネル,主３１１,杉並区今川一丁目,24.3,トンネル
乃木坂トンネル,特４１３,港区赤坂九丁目,0.2,トンネル
新宿西口広場,特４１４,新宿区西新宿一丁目,3.4,
新宿副都心四号街路・地下道,副４,新宿区西新宿一丁目,0.8,トンネル
立川立体排水場,主１６,立川市曙町三丁目,13.0,立体交差
練馬トンネル,主３１１,練馬区貫井四丁目,6.1,トンネル
練馬春日町トンネル,主３１１,練馬区春日町三丁目,11.7,トンネル
尾長橋トンネル,主３０６,北区豊島一丁目,6.3,トンネル
西東京緑町排水場,一１１２,西東京市緑町一丁目,0.8,
清瀬立体排水場,主４０,清瀬市元町一丁目,1.8,立体交差
東長沼立体排水場,主９,稲城市東長沼,10.0,
