町村名,人口（人）,東京からの距離（ｋｍ）,支庁管轄,交通海路,交通空路,歳出決算（千円）
大島町,8878,109,大島支庁,東京・熱海～大島,羽田・調布～大島,6392918
利島村,297,134,大島支庁,東京・下田～利島,,948415
新島村（新島・式根島）,3122,151,大島支庁,東京・下田～新島・式根島新島～式根島,調布～新島,3064855
神津島村,2080,172,大島支庁,東京・下田～神津島,,2322159
三宅村,2890,179,三宅支庁,東京～三宅島,羽田～三宅島（運休中）,6927031
御蔵島村,271,199,三宅支庁,東京～御蔵島,,974930
八丈町,8713,287,八丈市庁,東京～八丈島空,羽田・大島～八丈島,6671513
青ヶ島村,198,358,八丈市庁,八丈島～青ヶ島,,1226655
小笠原村（父島・母島）,2399,984,小笠原支庁,東京～父島父島～母島,,3291697
