区分１,区分２,区分３／条件（規模・時期及び時刻・風速）,東京湾北部地震冬の朝５時４ｍ／秒,東京湾北部地震冬の朝５時８ｍ／秒,東京湾北部地震冬の昼１２時４ｍ／秒,東京湾北部地震冬の昼１２時８ｍ／秒,東京湾北部地震冬の夕方１８時４ｍ／秒,東京湾北部地震冬の夕方１８時８ｍ／秒,多摩直下地震冬の朝５時４ｍ／秒,多摩直下地震冬の朝５時８ｍ／秒,多摩直下地震冬の昼１２時４ｍ／秒,多摩直下地震冬の昼１２時８ｍ／秒,多摩直下地震冬の夕方１８時４ｍ／秒,多摩直下地震冬の夕方１８時８ｍ／秒,元禄型関東地震冬の朝５時４ｍ／秒,元禄型関東地震冬の朝５時８ｍ／秒,元禄型関東地震冬の昼１２時４ｍ／秒,元禄型関東地震冬の昼１２時８ｍ／秒,元禄型関東地震冬の夕方１８時４ｍ／秒,元禄型関東地震冬の夕方１８時８ｍ／秒,立川断層帯地震冬の朝５時４ｍ／秒,立川断層帯地震冬の朝５時８ｍ／秒,立川断層帯地震冬の昼１２時４ｍ／秒,立川断層帯地震冬の昼１２時８ｍ／秒,立川断層帯地震冬の夕方１８時４ｍ／秒,立川断層帯地震冬の夕方１８時８ｍ／秒
人的被害（人）,死者,,7613,7649,6228,6296,9413,9641,5089,5115,3516,3546,4658,4732,5099,5125,3694,3736,5732,5875,2427,2442,1658,1681,2512,2582
人的被害（人）,原因別,ゆれによる建物全壊,6927,6927,4972,4972,5378,5378,4489,4489,2840,2840,3220,3220,4552,4552,2955,2955,3330,3330,2083,2083,1193,1193,1417,1417
人的被害（人）,原因別,急傾斜地崩壊による建物全壊,76,76,79,79,76,76,123,123,111,111,109,109,113,113,103,103,101,101,83,83,64,64,66,66
人的被害（人）,原因別,地震火災,504,540,1071,1138,3853,4081,378,403,465,496,1229,1302,345,371,547,589,2212,2355,219,233,358,381,986,1056
人的被害（人）,原因別,津波浸水（水門開放時）,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
人的被害（人）,原因別,ブロック塀,103,103,103,103,103,103,97,97,97,97,97,97,87,87,87,87,87,87,42,42,42,42,42,42
人的被害（人）,原因別,落下物,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
人的被害（人）,負傷者,,138657,138804,134562,134854,146596,147611,114600,114658,94701,94799,100983,101102,113420,113511,98036,98198,107723,108341,36966,36987,27168,27243,31399,31690
人的被害（人）,負傷者,（重傷者）,18032,18073,18186,18267,21609,21893,11302,11319,9696,9724,10871,10902,11664,11690,10511,10556,12774,12946,4731,4737,3630,3651,4586,4668
人的被害（人）,原因別,ゆれによる建物全壊,133140,133140,126530,126530,125964,125964,110119,110119,89859,89859,92831,92831,109307,109307,92898,92898,95256,95256,34965,34965,24645,24645,26183,26183
人的被害（人）,原因別,急傾斜地崩壊による建物全壊,95,95,99,99,94,94,154,154,139,139,137,137,141,141,129,129,127,127,103,103,80,80,82,82
人的被害（人）,原因別,地震火災,1578,1725,4089,4381,16694,17709,805,864,1182,1280,4494,4614,824,914,1862,2023,9192,9811,396,417,941,1016,3631,3922
人的被害（人）,原因別,ブロック塀,3543,3543,3543,3543,3543,3543,3349,3349,3349,3349,3349,3349,2988,2988,2988,2988,2988,2988,1453,1453,1453,1453,1453,1453
人的被害（人）,原因別,落下物,301,301,301,301,301,301,172,172,172,172,172,172,160,160,160,160,160,160,49,49,49,49,49,49
物的被害（棟）,建物被害,,134974,136297,163604,166906,293153,304300,89976,90947,98230,99788,135118,139436,89838,90834,101835,103834,177845,184794,43575,44127,52368,53482,82342,85735
物的被害（棟）,原因別,ゆれ液状化などによる建物全壊,116224,116224,116224,116224,116224,116224,75668,75668,75668,75668,75668,75668,76465,76465,76465,76465,76465,76465,35407,35407,35407,35407,35407,35407
物的被害（棟）,原因別,地震火災,19842,21240,50904,54417,189406,201249,14711,15707,23211,24811,61323,65770,13697,14736,26455,28565,107194,114534,8565,9147,17907,19089,49689,53302
物的被害（棟）,原因別,津波浸水（水門開放時）,,,,,,,,,,,,,230,230,230,230,230,230,,,,,,
物的被害（％）,交通,道路,6.8,6.8,6.8,6.8,6.8,6.8,2.3,2.3,2.3,2.3,2.3,2.3,3.6,3.6,3.6,3.6,3.6,3.6,1.0,1.0,1.0,1.0,1.0,1.0
物的被害（％）,交通,鉄道,2.0,2.0,2.0,2.0,2.0,2.0,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.3,0.3,0.3
物的被害（％）,ライフライン,電力施設,11.9,11.9,12.8,12.9,17.2,17.6,7.3,7.3,7.6,7.6,8.7,8.8,8.6,8.6,9.0,9.1,11.6,11.8,2.8,2.8,3.1,3.1,3.9,4.0
物的被害（％）,ライフライン,通信施設,1.2,1.3,2.4,2.6,7.2,7.6,0.7,0.7,0.9,1.0,1.9,2.0,2.8,2.8,3.2,3.2,5.8,6.1,0.3,0.3,0.5,0.5,1.3,1.4
物的被害（％）,ライフライン,ガス施設,２６．８～７４．２,２６．８～７４．２,２６．８～７４．２,２６．８～７４．２,２６．８～７４．２,２６．８～７４．２,６．５～８４．６,６．５～８４．６,６．５～８４．６,６．５～８４．６,６．５～８４．６,６．５～８４．６,３．０～５３．１,３．０～５３．１,３．０～５３．１,３．０～５３．１,３．０～５３．１,３．０～５３．１,０．８～１１．３,０．８～１１．３,０．８～１１．３,０．８～１１．３,０．８～１１．３,０．８～１１．３
物的被害（％）,ライフライン,上水道施設,34.5,34.5,34.5,34.5,34.5,34.5,36.9,36.9,36.9,36.9,36.9,36.9,45.2,45.2,45.2,45.2,45.2,45.2,13.3,13.3,13.3,13.3,13.3,13.3
物的被害（％）,ライフライン,下水道施設,23.0,23.0,23.0,23.0,23.0,23.0,23.2,23.2,23.2,23.2,23.2,23.2,22.9,22.9,22.9,22.9,22.9,22.9,18.8,18.8,18.8,18.8,18.8,18.8
その他（人）,帰宅困難者,,,,5166126,5166126,5166126,5166126,,,5166126,5166126,5166126,5166126,,,5166126,5166126,5166126,5166126,,,5166126,5166126,5166126,5166126
その他（人）,避難者,,2651297,2656898,2774238,2788191,3337937,3385489,2556330,2560236,2589796,2596041,2739518,2756681,2807568,2811542,2855698,2863681,3172713,3200981,850596,852491,882979,886785,995083,1007138
その他（台）,閉じ込めにつながり得るエレベーター停止台数,,7005,7008,7089,7096,7447,7473,5047,5048,5063,5066,5123,5130,5673,5676,5710,5716,5971,5991,2253,2253,2264,2266,2304,2308
その他（人）,災害要援護者死者数,,3638,3654,2894,2934,4786,4921,2343,2354,1825,1842,2505,2549,2330,2341,1761,1784,2889,2971,1050,1056,911,923,1373,1412
その他（人）,自力脱出困難者,,60844,60844,56531,56531,56666,56666,36761,36761,29523,29523,30626,30626,38598,38598,32194,32194,33222,33222,15364,15364,10528,10528,11320,11320
その他（万ｔ）,震災廃棄物,,3878,3882,3949,3957,4263,4289,3005,3007,3024,3028,3111,3121,2892,2895,2921,2926,3104,3121,1065,1066,1086,1089,1158,1166
