市町村名,土石流危険渓流数
八王子市,141
青梅市,183
町田市,3
あきる野市,59
日の出町,68
檜原村,54
奥多摩町,55
多摩地域計,563
大島町,40
新島村,5
神津島村,9
三宅村,29
御蔵島村,6
八丈町,22
青ヶ島村,5
小笠原村,24
島しょ地域計,140
東京都全体,703
