港名称,南海トラフ巨大地震ケース１（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース２（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース５（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース６（Ｔ．Ｐ．ｍ）,南海トラフ巨大地震ケース８（Ｔ．Ｐ．ｍ）,元禄型関東地震（Ｔ．Ｐ．ｍ）
新島港,22.54,5.52,4.02,22.56,22.71,5.62
若郷漁港,23.08,5.29,3.99,23.09,24.04,6.06
羽伏漁港,8.73,4.74,3.81,9.37,9.85,7.87
