年月日,災害名,主な被害死者,主な被害行方不明,主な被害重傷,主な被害軽傷,主な被害全壊,主な被害半壊,主な被害一部損壊,主な被害床上浸水,主な被害床下浸水,主な被害地域,救助法適用区市町村
昭49.7.20,雷雨,1,,,2,,3,1,770,,区部・多摩,新宿
昭50.10.5,台風第１３号,,,3,82,285,524,1286,4,,島しょ地域,八丈
昭51.9.9,台風第１７号,,,,1,,,6,2288,,区部・多摩,板橋
昭53.4.6,集中豪雨,,1,,1,,,2,1874,,区部・多摩,新宿、板橋
昭54.5.15,集中豪雨,,,,,,,,826,,区部・多摩,新宿
昭56.7.22,集中豪雨,,,,,,,,1796,,区部・多摩,新宿、文京、目黒、豊島
昭56.10.22,台風第２４号,,,,4,1,1,6,6235,,都内全域,千代田、文京、新宿、豊島、足立、葛飾、江戸川
昭57.9.12,台風第１８号,,,1,12,4,3,18,5733,,都内全域,新宿、文京、品川、中野、杉並、練馬、足立
昭58.11.7,台風第１７号,,,1,5,30,24,73,1,,小笠原,小笠原
昭61.8.4,台風第１０号,,,,,,,,738,,都内全域,足立
平1.8.1,大雨,,,,1,,,5,1100,2534,都内全域,中野
平5.8.27,台風第１１号,,,,,,,2,971,2294,区部,中野
平17.9.4,集中豪雨,,,,,,,,2972,2641,東京都全域,中野、杉並
平25.10.15,台風第２６号,37,3,10,15,52,27,183,58,103,大島,大島
