区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,1.6,98.4,0.0,0.0,0.0,3629,15380,0,0,0,0,0,0,0.0,0.0,17,1,0,0,0,0,0,0,0,0,4,173,172,0,1,0,0,107,0,0,0,0,0,0,19,97,1080758,501355,138,0,0,1,千
中央区,122762,647733,10.2,30.9,69.1,0.0,0.0,0.0,6210,12760,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,2,81,79,0,1,1,0,68,1,0,0,0,0,0,12,348,687953,309315,109,0,0,1,中
港区,205131,908940,20.3,24.4,75.6,0.0,0.0,0.0,13050,21979,4,0,0,4,0,0,0.0,0.0,118,1,0,0,1,0,1,0,0,0,5,87,82,1,1,4,0,104,2,0,0,0,1,0,19,245,1052177,468794,167,0,0,1,港
新宿区,326309,770094,18.2,0.0,100.0,0.0,0.0,0.0,36731,29507,6,0,0,5,0,0,0.0,0.0,46,1,2,2,1,0,1,0,0,0,4,157,146,1,1,8,0,72,4,0,0,0,3,0,13,2373,754164,313811,130,0,0,4,新
文京区,206626,336229,11.3,0.0,100.0,0.0,0.0,0.0,27454,19692,3,0,0,3,0,0,0.0,0.0,48,0,1,1,1,0,0,0,1,0,2,92,67,0,1,24,0,33,10,0,0,0,10,0,6,745,336926,131632,62,0,0,2,文
台東区,175928,303522,10.1,1.0,99.0,0.0,0.0,0.0,22814,22088,0,0,0,0,0,0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,1,94,82,0,1,11,0,28,5,0,0,0,4,0,5,1082,292785,112757,85,0,0,2,台
墨田区,247606,262514,13.8,1.3,98.7,0.0,0.0,0.0,34427,23443,0,0,0,0,0,0,0.0,0.0,0,1,5,5,0,0,0,0,0,0,1,89,85,0,1,3,0,24,1,0,0,0,1,0,4,1411,242306,79083,52,0,0,3,墨
江東区,460819,490708,39.5,40.9,59.1,0.0,0.0,0.0,27895,24091,0,0,0,0,0,0,0.0,0.0,0,1,2,2,0,0,0,0,0,0,3,72,62,0,1,8,0,50,3,0,0,0,3,0,9,882,509466,178078,80,0,0,1,江
品川区,365302,505034,22.7,78.4,21.6,0.0,0.0,0.0,51286,25015,2,0,0,2,0,0,0.0,0.0,43,0,7,7,0,0,0,0,0,0,2,6,4,0,1,1,0,18,0,0,0,0,0,0,2,95,480501,179084,25,0,0,0,品
目黒区,268330,271320,14.7,41.3,58.7,0.0,0.0,0.0,40796,23689,4,0,0,4,0,0,0.0,0.0,20,0,11,11,1,0,0,0,0,0,1,12,4,0,1,7,0,9,3,0,0,0,3,0,1,289,241932,78206,26,0,0,1,目
