ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）二見港・二見漁港,３．２４～６．００,３．２４～６．００,4.58,4.58,８６．０～８９．５,88.5,１１４．８～１８９．０,163.8
1,（２）扇浦周辺（扇浦周辺地区）,３．６９～６．００,３．６９～６．００,4.94,4.94,８７．５～８８．９,88.5,１６２．６～１８９．０,163.8
1,（３）二見港周辺（大村・奥村周辺地区）,２．８８～６．８３,２．８８～６．８３,4.59,4.59,８５．６～８９．５,85.6,１１３．９～１６５．８,120.8
1,（４）小港周辺（小港周辺地区）,４．０９～７．４７,４．０９～７．４７,6.08,6.08,８７．０～８８．５,88.2,１１０．９～１８５．５,111.8
1,島全体,２．０８～１１．０３,２．０８～１１．０３,4.92,4.92,８４．０～９６．８,92.7,９５．８～２１０．３,124.6
2,（１）二見港・二見漁港,３．６２～７．４７,３．６２～７．４７,5.82,5.82,８４．９～８８．２,88.0,１２１．８～１６１．９,124.8
2,（２）扇浦周辺（扇浦周辺地区）,５．０１～６．４１,５．０１～６．４１,5.71,5.71,８６．１～８７．７,86.2,１２１．８～１５９．４,123.3
2,（３）二見港周辺（大村・奥村周辺地区）,３．０６～７．４７,３．０６～７．４７,5.78,5.78,８４．３～８８．２,88.0,１１９．９～１６２．０,124.8
2,（４）小港周辺（小港周辺地区）,３．５０～６．６４,３．５０～６．６４,5.52,5.52,８５．８～８７．５,86.7,８８．５～１５８．７,111.7
2,島全体,１．９６～１１．７２,１．９６～１１．７２,5.29,5.29,８２．７～９７．１,91.1,８７．２～１９９．０,122.6
5,（１）二見港・二見漁港,４．０２～９．７６,４．０２～９．７６,7.72,7.72,８９．１～９２．６,92.4,９１．０～１６６．９,112.3
5,（２）扇浦周辺（扇浦周辺地区）,６．９０～８．３７,６．９０～８．３７,7.76,7.76,９０．４～９２．１,91.6,９３．７～１３０．６,93.8
5,（３）二見港周辺（大村・奥村周辺地区）,３．５８～９．７６,３．５８～９．７６,7.45,7.45,８８．６～９２．６,92.4,９０．７～１６６．９,112.3
5,（４）小港周辺（小港周辺地区）,８．０５～１２．１８,８．０５～１２．１８,10.58,10.58,９０．０～９１．８,91.3,９３．７～１２７．８,127.5
5,島全体,１．９１～１８．５２,１．９１～１８．５２,6.87,6.87,８７．０～１０２．９,95.4,８８．８～１８５．２,128.7
6,（１）二見港・二見漁港,３．７６～９．１２,３．７６～９．１２,6.16,6.16,８８．４～９２．３,88.5,９４．０～１６３．２,147.3
6,（２）扇浦周辺（扇浦周辺地区）,４．９９～７．５９,４．９９～７．５９,6.36,6.36,８９．８～９１．６,91.0,１２６．４～１２９．５,128.5
6,（３）二見港周辺（大村・奥村周辺地区）,３．５６～９．１２,３．５６～９．１２,5.93,5.93,８８．０～９２．３,88.5,９４．０～１６３．４,147.3
6,（４）小港周辺（小港周辺地区）,３．７３～６．８７,３．７３～６．８７,5.81,5.81,８９．４～９１．５,90.3,９１．２～１８６．４,160.9
6,島全体,２．１４～１２．６２,２．１４～１２．６２,5.29,5.29,８６．４～９８．１,94.9,８９．３～２１５．２,115.0
8,（１）二見港・二見漁港,２．９２～５．２５,２．９２～５．２５,3.79,3.79,８４．９～８８．２,84.9,８８．３～１９４．３,127.2
8,（２）扇浦周辺（扇浦周辺地区）,２．９６～４．８９,２．９６～４．８９,3.80,3.80,８６．１～８７．８,87.2,８８．３～１９４．３,164.7
8,（３）二見港周辺（大村・奥村周辺地区）,２．９５～５．２５,２．９５～５．２５,3.84,3.84,８４．４～８８．２,84.9,８９．４～１９３．２,127.2
8,（４）小港周辺（小港周辺地区）,３．８１～６．６３,３．８１～６．６３,5.58,5.58,８５．８～８７．５,86.8,９５．６～２１２．２,96.1
8,島全体,２．００～１１．０８,２．００～１１．０８,4.82,4.82,８２．８～１００．４,91.1,８８．３～２１４．５,122.6
