河川名,水防警報区１,水防警報区２,基準地点,担当事務所
鶴見川,左岸　自,東京都境,岡上橋,神奈川県横浜川崎治水事務所川崎治水センター
鶴見川,左岸　至,横浜市青葉区寺家町の河内橋上流端,岡上橋,神奈川県横浜川崎治水事務所川崎治水センター
鶴見川,右岸　自,東京都境,岡上橋,神奈川県横浜川崎治水事務所川崎治水センター
鶴見川,右岸　至,横浜市青葉区寺家町の水車橋上流端,岡上橋,神奈川県横浜川崎治水事務所川崎治水センター
麻生川,左岸　自,神奈川県川崎市麻生区上麻生の大谷戸橋下流端,新三輪橋,神奈川県横浜川崎治水事務所川崎治水センター
麻生川,左岸　至,鶴見川合流点,新三輪橋,神奈川県横浜川崎治水事務所川崎治水センター
麻生川,右岸　自,神奈川県川崎市麻生区上麻生の大谷戸橋下流端,新三輪橋,神奈川県横浜川崎治水事務所川崎治水センター
麻生川,右岸　至,鶴見川合流点,新三輪橋,神奈川県横浜川崎治水事務所川崎治水センター
境川,右岸　自,相模原市緑区城山町川尻,風戸橋／昭和橋／高橋／幸延寺橋,神奈川県厚木土木事務所津久井治水センター
境川,右岸　至,厚木土木事務所東部センター管内境（大和市境）,風戸橋／昭和橋／高橋／幸延寺橋,神奈川県厚木土木事務所津久井治水センター
境川,左岸　自,横浜市瀬谷区瀬谷町,,神奈川県厚木土木事務所東部センター
境川,左岸　至,藤沢土木事務所管内境,,神奈川県厚木土木事務所東部センター
境川,右岸　自,厚木土木事務所津久井治水センター管内境（相模原市境）,,神奈川県厚木土木事務所東部センター
境川,右岸　至,藤沢土木事務所管内境,,神奈川県厚木土木事務所東部センター
