地区,４５超え５０以下（棟）,５０超え６０以下（棟）,６０超え７０以下（棟）,７０超え８０以下（棟）,８０超え９０以下（棟）,９０超え１００以下（棟）,１００超え１２０以下（棟）,１２０超え１４０以下（棟）,１４０超え１６０以下（棟）,１６０超え１８０以下（棟）,１８０超え２００以下（棟）,２００超えるもの（棟）,合計（棟）
千代田区,71,90,38,28,18,21,34,13,17,10,3,2,345
中央区,107,102,12,20,11,12,18,7,5,7,7,0,308
港区,116,121,46,32,32,44,41,21,25,14,3,7,502
新宿区,68,51,12,11,15,12,7,13,1,7,4,7,208
文京区,50,30,5,8,6,8,1,1,3,0,0,0,112
台東区,34,19,5,2,4,1,2,3,0,0,0,0,70
墨田区,17,8,3,2,3,7,1,2,2,0,0,1,46
江東区,41,46,16,8,7,13,21,5,8,5,0,0,170
品川区,46,33,13,12,12,19,17,3,4,0,0,0,159
目黒区,11,3,2,1,2,2,3,0,2,2,0,0,28
大田区,26,11,1,10,4,3,1,0,0,0,0,0,56
世田谷区,13,2,1,2,3,4,2,2,1,0,0,0,30
渋谷区,48,53,20,8,5,8,6,5,1,1,2,2,159
中野区,8,5,0,0,1,6,2,2,0,0,0,0,24
杉並区,6,1,2,2,1,0,0,0,0,0,0,0,12
豊島区,27,14,4,6,4,7,3,3,1,0,2,1,72
北区,14,13,3,3,2,2,0,0,0,0,0,0,37
荒川区,14,16,2,1,3,2,4,3,1,0,0,0,46
板橋区,16,10,1,2,2,1,1,0,0,0,0,0,33
練馬区,11,2,1,2,2,7,3,0,0,0,0,0,28
足立区,17,7,6,2,1,4,0,0,0,0,0,0,37
葛飾区,11,6,0,2,0,0,0,1,0,0,0,0,20
江戸川区,10,17,4,3,2,2,2,0,0,0,0,0,40
区部計,782,660,197,167,140,185,169,84,71,46,21,20,2542
八王子市,16,11,2,4,0,1,0,0,1,0,0,0,35
立川市,5,4,2,0,0,0,0,1,0,0,0,0,12
武蔵野市,4,3,0,0,0,0,2,0,0,0,0,0,9
三鷹市,5,1,0,1,0,0,0,0,0,0,0,0,7
府中市,6,5,1,1,0,2,1,1,0,0,0,0,17
調布市,6,7,0,0,0,0,1,0,0,0,0,0,14
町田市,4,6,0,0,0,1,0,0,0,0,0,0,11
小平市,0,3,0,0,0,0,0,0,0,0,0,0,3
日野市,1,0,0,0,0,0,0,0,0,0,0,0,1
東村山市,2,1,0,0,0,1,0,0,0,0,0,0,4
国分寺市,1,4,0,0,1,0,0,0,0,0,0,0,6
小金井市,0,0,0,0,0,1,0,0,0,0,0,0,1
国立市,1,0,0,0,0,0,0,0,0,0,0,0,1
東大和市,7,0,0,0,0,0,0,0,0,0,0,0,7
清瀬市,3,0,0,0,0,0,0,0,0,0,0,0,3
東久留米市,2,1,0,0,0,0,0,0,0,0,0,0,3
多摩市,9,8,1,0,1,1,2,0,0,0,0,0,22
稲城市,6,0,2,0,0,0,0,0,0,0,0,0,8
西東京市,2,6,1,0,0,0,0,0,0,0,0,0,9
福生市,1,0,0,0,0,0,0,0,0,0,0,0,1
市部計,81,60,9,6,2,7,6,2,1,0,0,0,174
東京都合計,863,720,206,173,142,192,175,86,72,46,21,20,2716
東京都合計４５超え６０以下（棟）,,,,,,,,,,,,,1583
東京都合計６０超え１００以下（棟）,,,,,,,,,,,,,713
東京都合計６０超え（棟）,,,,,,,,,,,,,420
東京都合計１００超え（棟）,,,,,,,,,,,,,1133
