住宅種別１,住宅種別２,人数
公営住宅,都営,1614
公営住宅,都民,283
公営住宅,公社,265
公営住宅,公団,198
公営住宅,市区町村,176
公営住宅,他県営,3
社宅,,279
施設等,,93
縁故,,773
合計,,3684
