ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）新島港,１２．９９～２２．５４,１２．９７～２２．５２,16.85,16.83,１４．４～１５．７,15.7,１６．０～１７．５,16.5
1,（２）若郷漁港,６．６６～２３．０８,６．６４～２３．０６,17.34,17.32,１５．４～１７．０,16.6,１６．７～１８．７,18.0
1,（３）羽伏漁港,４．９０～８．７３,４．８８～８．７１,6.66,6.64,１９．９～２２．７,20.3,２０．６～８４．０,83.6
1,（４）羽伏浦海岸周辺,６．５２～１４．８９,６．５～１４．８７,9.53,9.52,２１．８～２３．５,23.3,２１．９～６０．０,23.9
1,（５）間々下浦海岸周辺,１５．６５～２９．６８,１５．６３～２９．６６,19.31,19.29,１５．３～１５．８,15.8,１５．９～１６．７,16.1
1,島全体,４．３０～２９．６８,４．２８～２９．６６,13.65,13.63,１３．１～２３．５,15.8,１４．１～８４．４,16.1
2,（１）新島港,３．７３～５．５２,３．６７～５．４６,4.11,4.05,１７．７～１９．５,18.5,２０．９～７８．０,24.1
2,（２）若郷漁港,２．３９～５．２９,２．３３～５．２３,3.81,3.75,１８．５～２５．８,23.2,２３．５～１０９．０,38.4
2,（３）羽伏漁港,３．２４～４．７４,３．１８～４．６８,3.90,3.84,２６．７～３５．１,28.4,９６．３～１４０．６,99.3
2,（４）羽伏浦海岸周辺,４．２１～６．４７,４．１４～６．４１,4.73,4.67,２７．３～２８．８,27.4,６５．７～１４３．８,100.3
2,（５）間々下浦海岸周辺,４．０６～５．３５,４．００～５．２９,4.79,4.73,１８．７～１８．９,18.7,２３．４～３６．６,36.1
2,島全体,２．１７～６．４７,２．１１～６．４１,4.04,3.98,１６．４～３５．１,27.4,２０．９～１６９．９,100.3
5,（１）新島港,２．１８～４．０２,２．１５～３．９９,2.76,2.73,２０．１～２１．７,20.7,２２．８～１８６．９,154.0
5,（２）若郷漁港,１．６９～３．９９,１．６６～３．９６,2.66,2.62,２１．２～１５２．１,22.4,２３．６～１８５．０,137.2
5,（３）羽伏漁港,１．８０～３．８１,１．７７～３．７７,2.95,2.91,５１．９～１５２．７,52.2,１０２．８～１８１．０,131.7
5,（４）羽伏浦海岸周辺,２．８７～４．４７,２．８４～４．４４,3.54,3.51,３３．０～６６．２,64.9,１０３．２～１７３．３,138.3
5,（５）間々下浦海岸周辺,３．４５～４．０１,３．４２～３．９８,3.71,3.68,２０．９～２１．３,21.0,１４２．２～１５５．０,153.3
5,島全体,１．６９～５．６０,１．６６～５．５７,3.05,3.02,１８．９～１５２．７,53.4,２２．１～１８６．９,127.7
6,（１）新島港,１３．００～２２．５６,１２．９８～２２．５４,16.86,16.84,１４．４～１５．７,15.7,１６．０～１７．５,16.5
6,（２）若郷漁港,６．６６～２３．０９,６．６４～２３．０７,17.35,17.33,１５．４～１７．０,16.6,１６．７～１８．７,18.0
6,（３）羽伏漁港,５．１９～９．３７,５．１７～９．３５,7.18,7.16,１９．９～２２．７,21.0,２０．６～１３７．１,43.9
6,（４）羽伏浦海岸周辺,６．５２～１４．９０,６．５～１４．８８,9.54,9.53,２１．８～２３．５,23.3,２１．９～８３．１,23.9
6,（５）間々下浦海岸周辺,１５．６７～２９．６５,１５．６５～２９．６４,19.32,19.30,１５．３～１５．８,15.8,１５．９～１６．７,16.1
6,島全体,５．１４～２９．６５,５．１２～２９．６４,13.75,13.73,１３．１～２３．５,15.8,１４．１～１３７．１,16.1
8,（１）新島港,１２．９９～２２．７１,１２．９５～２２．６６,17.08,17.03,１５．４～１６．７,16.7,１６．８～１８．５,17.5
8,（２）若郷漁港,６．８６～２４．０４,６．８１～２３．９９,17.74,17.70,１６．４～１７．９,17.5,１７．７～１９．７,19.0
8,（３）羽伏漁港,５．３０～９．８５,５．２６～９．８０,7.00,6.95,２０．９～２３．６,22.5,２１．５～１０７．４,45.1
8,（４）羽伏浦海岸周辺,６．４９～１５．３８,６．４５～１５．３４,9.59,9.55,２２．７～２４．５,24.3,２２．９～１０７．３,25.0
8,（５）間々下浦海岸周辺,１５．８７～３０．１６,１５．８２～３０．１２,19.53,19.48,１６．２～１６．８,16.8,１６．９～１７．７,17.1
8,島全体,４．９７～３０．１６,４．９２～３０．１２,13.94,13.89,１４．１～２４．５,16.8,１５．１～１２１．２,17.1
