事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
公共空間、都立施設等にＷｉ－Ｆｉアンテナやデジタルサイネージを整備し、外国人観光客などに向けた情報発信を強化します,,,,,,857,,731
48,５－３３,デジタルサイネージ,産業労働局,観光案内機能の向上のため、デジタルサイネージを都内各所に設置し、外国人観光客等に向けた情報発信を強化する。,・観光案内機能向上のための重点整備工事エリア内に順次設置中,857,・観光案内機能向上のための重点整備工事エリア内に５基設置予定／・都内市区町村等と連携し指定する「広域的な観光案内拠点」及び「東京観光案内窓口」に１７２基設置予定,731
49,（５－３０）,河川の魅力発信・プロモーションの充実,建設局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
