名称,所在,竣工年月,階数（地上／地下）,高さ（ｍ）,延面積
東京ミッドタウンミッドタウン・タワー,港区赤坂９,H19.1,５４／５,248.10,
東京都庁第一庁舎,新宿区西新宿２－８,H3.2,４８／３,243.40,194593
ＮＴＴドコモ代々木ビル,渋谷区千駄ヶ谷５－２４－１０,H12.9,２７／３,239.85,52432
六本木ヒルズ森タワー,港区六本木６,H15.3,５４／６,238.06,
東京オペラシティ,渋谷区本町１－１,H8.7,５４／４,234.37,311140
新宿パークタワー,新宿区西新宿３－７,H6.3,５２／５,232.63,301143
サンシャイン６０,豊島区東池袋３－１,S53.3,６０／３,226.20,248605
新宿センタービル,新宿区西新宿１－２５,S54.10,５４／４,223.00,164100
聖路加セントルークスタワー,中央区明石町,H6.4,４７／４,220.63,
汐留シティセンター,港区東新橋１,H15.1,４３／４,215.75,
電通本社ビル,港区東新橋１,H14.10,４８／５,213.33,
新宿住友ビル,新宿区西新宿２－６,S49.3,５２／４,212.00,176443
新宿野村ビル,新宿区西新宿１－２６,S53.5,５３／５,209.90,117882
新宿三井ビル,新宿区西新宿２－１,S49.9,５５／３,209.40,179671
グラントウキョウノースタワー,千代田区丸の内１,H19.10,４３／４,205.00,
グラントウキョウサウスタワー,千代田区丸の内１,H19.10,４２／４,205.00,
泉ガーデンタワー,港区六本木１,H14.6,４５／２,201.00,
損保ジャパン本社ビル,新宿区西新宿１－２６,S51.4,４３／６,200.00,124485
