港名称,南海トラフ巨大地震の最大津波高（ｍ）ケース（１）,南海トラフ巨大地震の最大津波高（ｍ）ケース（２）,南海トラフ巨大地震の最大津波高（ｍ）ケース（５）,南海トラフ巨大地震の最大津波高（ｍ）ケース（６）,南海トラフ巨大地震の最大津波高（ｍ）ケース（８）,最大津波高到達時間（分）,最大津波高到達時間（最短ケース）
（１）新島港,22.54,5.52,4.02,22.56,22.71,16.5,ケース（１）、（６）
（２）若郷漁港,23.08,5.29,3.99,23.09,24.04,18.0,ケース（１）、（６）
（３）羽伏漁港,8.73,4.74,3.81,9.37,9.85,43.9,ケース（６）
