区分,島名,全体事業計画漁港名,全体事業計画種別,全体事業計画事業内容１,全体事業計画事業内容２,実施計画（２５）
都営漁港,大島,元町,1,,,
都営漁港,大島,岡田,1,防波堤（ｍ）,15,調査設計
都営漁港,大島,泉津,1,防波堤（改良）（ｍ）,42,調査設計
都営漁港,大島,泉津,1,突堤（ｍ）,35,調査設計
都営漁港,大島,泉津,1,護岸（ｍ）,42,調査設計
都営漁港,大島,泉津,1,用地（ｍ２）,530,調査設計
都営漁港,大島,差木地,1,,,
都営漁港,大島,野増,1,防波堤（改良）（ｍ）,60,調査設計等
都営漁港,新島,若郷,1,突堤（ｍ）,50,防波堤（改良）２０ｍ
都営漁港,新島,若郷,1,防波堤（改良）,一式,防波堤（改良）２０ｍ
都営漁港,新島,若郷,1,岸壁（ｍ）,21,防波堤（改良）２０ｍ
都営漁港,新島,若郷,1,泊地整備（ｍ２）,14000,防波堤（改良）２０ｍ
都営漁港,新島,若郷,1,道路（ｍ）,570,防波堤（改良）２０ｍ
都営漁港,新島,若郷,1,用地（ｍ２）,2000,防波堤（改良）２０ｍ
都営漁港,新島,羽伏,1,防波堤（ｍ）,130,調査設計
都営漁港,新島,羽伏,1,胸壁（ｍ）,50,調査設計
都営漁港,新島,羽伏,1,岸壁（ｍ）,150,調査設計
都営漁港,新島,羽伏,1,航路泊地整備（ｍ２）,9900,調査設計
都営漁港,新島,羽伏,1,道路（ｍ）,200,調査設計
都営漁港,式根島,野伏,1,防波堤（ｍ）,30,
都営漁港,式根島,野伏,1,胸壁（ｍ）,12,
都営漁港,式根島,野伏,1,岸壁（ｍ）,40,
都営漁港,式根島,野伏,1,航路泊地整備（ｍ２）,1700,
都営漁港,式根島,野伏,1,道路（ｍ）,219,
都営漁港,式根島,野伏,1,用地（ｍ２）,580,
都営漁港,式根島,小浜,1,防波堤（ｍ）,65,
都営漁港,式根島,小浜,1,岸壁（改良）（ｍ）,110,
都営漁港,式根島,小浜,1,船揚場（改良）（ｍ）,35,
都営漁港,式根島,小浜,1,泊地整備（ｍ２）,6500,
都営漁港,神津島,三浦,4,防波堤（ｍ）,30,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,防砂潜堤（ｍ）,430,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,護岸（ｍ）,120,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,突堤（ｍ）,110,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,防波堤（改良）（ｍ）,325,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,岸壁（ｍ）,405,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,船揚場（ｍ）,20,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,道路（ｍ）,430,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,岸壁（補修）（ｍ）,260,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,道路（改良）（ｍ）,270,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,神津島,三浦,4,用地（ｍ２）,2560,防砂潜堤１３０ｍ／岸壁１３０ｍ
都営漁港,三宅島,阿古,4,突堤（ｍ）,50,防波堤（改良）３３ｍ
都営漁港,三宅島,阿古,4,防波堤（改良）（ｍ）,190,防波堤（改良）３３ｍ
都営漁港,三宅島,阿古,4,岸壁（ｍ）,131,防波堤（改良）３３ｍ
都営漁港,三宅島,阿古,4,航路泊地整備（ｍ２）,1500,防波堤（改良）３３ｍ
都営漁港,三宅島,阿古,4,道路（ｍ）,575,防波堤（改良）３３ｍ
都営漁港,三宅島,阿古,4,道路（改良）（ｍ）,320,防波堤（改良）３３ｍ
都営漁港,三宅島,坪田,2,防波堤（ｍ）,75,防波堤２０ｍ
都営漁港,三宅島,坪田,2,防波堤（改良）（ｍ）,35,防波堤２０ｍ
都営漁港,三宅島,坪田,2,護岸（改良）（ｍ）,30,防波堤２０ｍ
都営漁港,三宅島,湯の浜,1,,,
都営漁港,三宅島,大久保,1,防波堤（改良）（ｍ）,160,防波堤（改良）５ｍ
都営漁港,三宅島,伊ケ谷,1,防波堤（ｍ）,40,護岸（改良）５０ｍ
都営漁港,三宅島,伊ケ谷,1,護岸（ｍ）,180,護岸（改良）５０ｍ
都営漁港,三宅島,伊ケ谷,1,護岸（改良）（ｍ）,125,護岸（改良）５０ｍ
都営漁港,三宅島,伊ケ谷,1,岸壁（ｍ）,100,護岸（改良）５０ｍ
都営漁港,三宅島,伊ケ谷,1,岸壁（改良）（ｍ）,44,護岸（改良）５０ｍ
都営漁港,三宅島,伊ケ谷,1,道路（ｍ）,262,護岸（改良）５０ｍ
都営漁港,三宅島,伊ケ谷,1,駐車場（ｍ２）,800,護岸（改良）５０ｍ
都営漁港,八丈島,神湊,4,防波堤（ｍ）,170,防波堤１５ｍ／防波堤（改良）１６ｍ／岸壁１１３ｍ／岸壁１１３ｍ／道路５７ｍ／用地２２７０ｍ２
都営漁港,八丈島,神湊,4,防波堤（改良）（ｍ）,192,防波堤１５ｍ／防波堤（改良）１６ｍ／岸壁１１３ｍ／岸壁１１３ｍ／道路５７ｍ／用地２２７０ｍ２
都営漁港,八丈島,神湊,4,岸壁（ｍ）,113,防波堤１５ｍ／防波堤（改良）１６ｍ／岸壁１１３ｍ／岸壁１１３ｍ／道路５７ｍ／用地２２７０ｍ２
都営漁港,八丈島,神湊,4,船揚場（ｍ）,35,防波堤１５ｍ／防波堤（改良）１６ｍ／岸壁１１３ｍ／岸壁１１３ｍ／道路５７ｍ／用地２２７０ｍ２
都営漁港,八丈島,神湊,4,泊地整備（ｍ２）,2370,防波堤１５ｍ／防波堤（改良）１６ｍ／岸壁１１３ｍ／岸壁１１３ｍ／道路５７ｍ／用地２２７０ｍ２
都営漁港,八丈島,神湊,4,用地（ｍ２）,2670,防波堤１５ｍ／防波堤（改良）１６ｍ／岸壁１１３ｍ／岸壁１１３ｍ／道路５７ｍ／用地２２７０ｍ２
都営漁港,八丈島,神湊,4,道路（ｍ）,147,防波堤１５ｍ／防波堤（改良）１６ｍ／岸壁１１３ｍ／岸壁１１３ｍ／道路５７ｍ／用地２２７０ｍ２
都営漁港,八丈島,神湊,4,駐車場（ｍ２）,450,防波堤１５ｍ／防波堤（改良）１６ｍ／岸壁１１３ｍ／岸壁１１３ｍ／道路５７ｍ／用地２２７０ｍ２
都営漁港,八丈島,八重根,4,防波堤（ｍ）,300,防波堤５０ｍ
都営漁港,八丈島,八重根,4,防波堤（改良）（ｍ）,300,防波堤５０ｍ
都営漁港,八丈島,八重根,4,護岸（改良）（ｍ）,44,防波堤５０ｍ
都営漁港,八丈島,八重根,4,岸壁（ｍ）,80,防波堤５０ｍ
都営漁港,八丈島,八重根,4,泊地整備（ｍ２）,17500,防波堤５０ｍ
都営漁港,八丈島,八重根,4,道路（ｍ）,475,防波堤５０ｍ
都営漁港,八丈島,八重根,4,道路（改良）（ｍ）,415,防波堤５０ｍ
都営漁港,八丈島,中之郷,1,,,
都営漁港,八丈島,洞輪沢,1,防波堤（改良）（ｍ）,68,防波堤（改良）１７ｍ
都営漁港,父島,二見,4,防波堤（改良）（ｍ）,210,防波堤（改良）５４ｍ
都営漁港,父島,二見,4,防波堤（新設）（ｍ）,70,防波堤（改良）５４ｍ
都営漁港,母島,母島,4,,,
