年度,内容,総額（千円）,国庫補助（千円）,都補助（千円）
12,（該当事業なし）,,,
13,送配水施設、電気設備等整備,12773,0,8666
14,送配水施設、電気設備等整備,306226,232394,29049
14,北部水源開発調査,52292,0,52000
15,送配水施設、電気設備等整備,255667,196492,24562
16,漏水調査・修理、電機・計器修理,5155,0,4000
計,,632113,428886,118277
