ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
1,（１）元町港周辺,５．７６～１３．２０,５．７４～１３．１８,8.53,8.51,２０．２～２１．５,21.5,２１．５～２８．８,28.2
1,（２）元町港・元町漁港,５．７６～１０．４３,５．７４～１０．４１,7.75,7.73,２０．２～２１．２,21.1,２１．４～２８．８,28.2
1,（３）和泉浜周辺,５．７５～８．９４,５．７３～８．９２,7.19,7.17,２０．２～２０．８,20.8,２１．０～２１．７,21.5
1,（４）万立浜周辺,５．０３～７．０１,５．０１～６．９９,6.14,6.11,２０．２～２０．７,20.5,２１．１～２６．４,21.3
1,（５）野田浜周辺,３．９６～８．１５,３．９５～８．１３,6.27,6.25,２０．７～２２．４,21.5,２１．８～４３．５,22.3
1,（６）岡田港周辺,２．６０～８．２８,２．５５～８．２５,4.93,4.89,２２．９～２４．１,24.0,２３．８～５０．３,29.1
1,（７）岡田港・岡田漁港,３．３９～８．２８,３．３６～８．２５,5.88,5.85,２２．９～２４．１,24.0,２３．８～５０．３,29.1
1,（８）泉津漁港周辺,１．９９～３．７２,１．９４～３．６６,2.56,2.50,２３．０～２５．３,23.3,２８．５～５０．１,33.3
1,（９）泉津漁港,２．３１～３．７２,２．２５～３．６６,2.72,2.67,２３．２～２３．３,23.3,３２．８～５０．１,33.3
1,（１０）筆島周辺,４．１０～８．３４,４．０２～８．２６,6.27,6.20,２２．９～２４．２,24.0,２３．４～６１．３,37.8
1,（１１）波浮港周辺,２．８２～９．２４,２．７５～９．１９,5.33,5.27,２１．０～２３．７,21.2,２１．８～５１．０,22.3
1,（１２）波浮港,２．８２～６．６１,２．７５～６．５４,4.74,4.68,２１．７～２３．７,22.9,２２．２～５１．０,23.4
1,（１３）差木地漁港周辺,５．９５～１０．１７,５．９１～１０．１２,7.52,7.48,２０．２～２１．５,21.4,２１．１～２６．８,22.2
1,（１４）差木地漁港,５．９７～８．４０,５．９２～８．３６,7.03,6.98,２０．６～２１．２,20.8,２１．５～２２．０,21.5
1,（１５）砂の浜周辺,６．５９～１１．９８,６．５６～１１．９６,9.17,9.14,１９．７～２０．８,20.7,２０．９～４１．７,21.4
1,（１６）野増漁港周辺,７．８６～１３．９６,７．８４～１３．９４,10.47,10.45,２０．３～２１．５,21.1,２１．０～２８．８,27.8
1,（１７）野増漁港,７．８６～１３．９６,７．８４～１３．９４,10.05,10.03,２０．５～２１．５,21.1,２１．４～２８．８,27.8
1,島全体,１．９９～１４．５７,１．９４～１４．５５,6.37,6.33,１９．７～２５．４,20.7,２０．９～６４．５,21.4
2,（１）元町港周辺,２．５１～４．３０,２．４３～４．２２,3.12,3.04,２６．６～４７．４,28.0,４７．９～１３１．０,63.2
2,（２）元町港・元町漁港,２．５１～３．９５,２．４３～３．８７,2.97,2.89,２６．６～４７．４,28.6,４７．９～１３１．０,48.3
2,（３）和泉浜周辺,２．２０～３．８３,２．１２～３．７５,2.90,2.83,２６．４～４７．０,26.4,４７．３～１３７．８,47.9
2,（４）万立浜周辺,２．１３～３．００,２．０５～２．９２,2.47,2.40,３３．６～４７．４,33.6,４７．３～１３７．５,130.3
2,（５）野田浜周辺,１．８５～３．０５,１．７８～２．９８,2.49,2.43,３３．２～４８．９,33.3,４７．９～１３８．８,48.5
2,（６）岡田港周辺,１．６２～３．６７,１．５６～３．６０,2.46,2.40,３１．２～１３１．０,35.5,４６．８～１３７．７,52.0
2,（７）岡田港・岡田漁港,１．６８～３．６７,１．６１～３．６０,2.77,2.71,３１．２～１２６．３,35.5,４６．８～１３７．７,52.0
2,（８）泉津漁港周辺,１．４２～２．１２,１．３７～２．０６,1.56,1.51,４５．２～１３１．４,45.2,１２２．３～１３８．４,122.8
2,（９）泉津漁港,１．４２～２．１２,１．３７～２．０６,1.57,1.51,４５．２～１３１．２,45.2,１２２．７～１３８,122.8
2,（１０）筆島周辺,２．３７～３．４９,２．２９～３．４１,2.82,2.75,３９．３～４４．４,40.7,４８．６～１４４．８,84.0
2,（１１）波浮港周辺,１．９９～３．７４,１．９２～３．６６,2.57,2.50,２７．１～４３．０,39.5,４１．８～１４５．７,56.9
2,（１２）波浮港,１．９９～３．３５,１．９２～３．２７,2.45,2.37,３９．７～４２．６,40.7,４１．８～１４５．７,85.0
