島名,漁港名,施設名,延長（ｍ）,水深（ｍ）,主たる利用漁船又は船舶（ｔ）
大島,元町漁港,防波堤,568,,
大島,元町漁港,岸壁,187,-3.0,０～２０
大島,岡田漁港,防波堤,330,,
大島,岡田漁港,岸壁,284,-3.0,０～２０
大島,野増漁港,防波堤,349,,
大島,野増漁港,岸壁,140,-3.0,０～２０
大島,差木地漁港,防波堤,255,,
大島,差木地漁港,岸壁,111,-3.0,０～２０
大島,泉津漁港,防波堤,149,,
大島,泉津漁港,岸壁,90,-3.0,０～２０
新島,若郷漁港,防波堤,898,,
新島,若郷漁港,岸壁,399,-3.0,０～２０
新島,若郷漁港,特定目的岸壁,145,－４．５～－６．０,500
新島,羽伏漁港,防波堤,407,,
新島,羽伏漁港,岸壁,295,-3.0,０～２０
新島,羽伏漁港,特定目的岸壁,155,-7.5,5000
式根島,野伏漁港,防波堤,203,,
式根島,野伏漁港,岸壁,380,-3.0,０～２０
式根島,野伏漁港,特定目的岸壁,195,-7.5,5000
式根島,小浜漁港,防波堤,128,,
式根島,小浜漁港,岸壁,203,－２．０～－３．０,０～２０
神津島,三浦漁港,防波堤,813,,
神津島,三浦漁港,岸壁,660,-3.0,０～２０
神津島,三浦漁港,特定目的岸壁,305,－５．０～－７．５,５００～５０００
三宅島,湯の浜漁港,防波堤,252,,
三宅島,湯の浜漁港,岸壁,210,-3.0,０～２０
三宅島,伊ヶ谷漁港,防波堤,305,,
三宅島,伊ヶ谷漁港,岸壁,148,－２．０～－３．０,０～２０
三宅島,伊ヶ谷漁港,特定目的岸壁,150,-7.5,5000
三宅島,大久保漁港,防波堤,357,,
三宅島,大久保漁港,岸壁,101,－２．０～－２．５,０～２０
三宅島,坪田漁港,防波堤,704,,
三宅島,坪田漁港,岸壁,435,－２．０～－３．０,０～２０
三宅島,阿古漁港,防波堤,202,,
三宅島,阿古漁港,岸壁,790,－２．０～－３．０,０～２０
三宅島,阿古漁港,特定目的岸壁,270,－５．０～－７．５,５００～５０００
八丈島,洞輪沢漁港,防波堤,544,,
八丈島,洞輪沢漁港,岸壁,229,-3.0,０～２０
八丈島,中之郷漁港,防波堤,251,,
八丈島,中之郷漁港,岸壁,105,-3.0,０～２０
八丈島,神湊漁港,防波堤,613,,
八丈島,神湊漁港,岸壁,921,－３．０～－５．０,０～２０
八丈島,八重根漁港,防波堤,685,,
八丈島,八重根漁港,岸壁,752,-3.0,０～２０
父島,二見漁港,防波堤,417,,
父島,二見漁港,岸壁,717,－２．０～－４．５,０～２０
母島,母島漁港,防波堤,293,,
母島,母島漁港,岸壁,0,,
